DOI,publicationDate,publisher,subject
doi:10.7910/DVN/URHMUA,2018,harvard,Social Sciences
doi:10.7910/DVN/BNRWDL,2019,trabalho_davi,Social Sciences
doi:10.7910/DVN/YCSFSC,2019,IOJ,Social Sciences
doi:10.7910/DVN/4MTMXW,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/AUX9W1,2018,BJPolS,Social Sciences
doi:10.7910/DVN/3E7RG4,2018,harvard,Social Sciences
doi:10.7910/DVN/K7OCDX,2018,ajps,Social Sciences
doi:10.7910/DVN/SUPM3R,2016,jop,Social Sciences
doi:10.7910/DVN/5CBVXA,2019,harvard,Social Sciences
doi:10.7910/DVN/4NUU2J,2020,JAERE,Social Sciences
doi:10.7910/DVN/DRVBZY,2019,michaelaklin,Social Sciences
doi:10.7910/DVN/IYAX3D,2017,researchandpolitics,Social Sciences
doi:10.7910/DVN/MPQGZP,2019,BJPolS,Social Sciences
doi:10.7910/DVN/WX6ZPC,2019,jop,Social Sciences
doi:10.7910/DVN/RZPNLY,2019,perspectives,Social Sciences
doi:10.7910/DVN/BPGCF0,2016,bullock,Social Sciences
doi:10.7910/DVN/TCOFXX,2019,harvard,Social Sciences
doi:10.7910/DVN/KHBJVZ,2020,harvard,Social Sciences
doi:10.7910/DVN/YTWNA2,2019,harvard,Social Sciences
doi:10.7910/DVN/NQVP7K,2018,pan,Social Sciences
doi:10.7910/DVN/A3ROXD,2017,harvard,Agricultural Sciences
doi:10.7910/DVN/0PTKDP,2016,harvard,Social Sciences
doi:10.7910/DVN/B4XDZP,2016,internationalinteractions,Social Sciences
doi:10.7910/DVN/RRF7EU,2019,perspectives,Social Sciences
doi:10.7910/DVN/HT1WSA,2018,isq,Social Sciences
doi:10.7910/DVN/FPYKTP,2019,ajps,Social Sciences
doi:10.7910/DVN/MHN3NY,2017,harvard,Earth and Environmental Sciences
doi:10.7910/DVN/AOY452,2018,pan,Computer and Information Science;Social Sciences
doi:10.7910/DVN/OUFGTX,2018,ssoroka,Social Sciences
doi:10.7910/DVN/SOT2WM,2018,JPublicPolicy,Social Sciences
doi:10.7910/DVN/HI1X4O,2018,ajps,Social Sciences
doi:10.7910/DVN/1KIEXG,2018,xps,Social Sciences
doi:10.7910/DVN/KYVPKZ,2020,harvard,Social Sciences
doi:10.7910/DVN/DOP4UB,2017,harvard,Social Sciences
doi:10.7910/DVN/M9RWZN,2019,stateofaadhaar,Social Sciences
doi:10.7910/DVN/KOVT5Y,2019,world-politics,Social Sciences
doi:10.7910/DVN/XHDOZU,2019,researchandpolitics,Social Sciences
doi:10.7910/DVN/ELUQVD,2016,facebook,Business and Management;Computer and Information Science;Mathematical Sciences;Social Sciences
doi:10.7910/DVN/KIVXRA,2018,harvard,Social Sciences
doi:10.7910/DVN/VE6VSR,2019,alexandercoppock,Social Sciences
doi:10.7910/DVN/XN2TZL,2018,jop,Social Sciences
doi:10.7910/DVN/ZATAJM,2019,hm,Social Sciences
doi:10.7910/DVN/H13U6G,2018,ajps,Social Sciences
doi:10.7910/DVN/GYMPE7,2019,BJPolS,Social Sciences
doi:10.7910/DVN/XRZW4O,2018,gov2001,Social Sciences
doi:10.7910/DVN/27702,2016,PSRM,Social Sciences
doi:10.7910/DVN/ABSCFP,2018,jackpaine,Social Sciences
doi:10.7910/DVN/VGNMQP,2019,harvard,Earth and Environmental Sciences
doi:10.7910/DVN/7PZHF6,2020,the_review,Social Sciences
doi:10.7910/DVN/ZAZAD6,2019,researchandpolitics,Social Sciences
doi:10.7910/DVN/BJNAPD,2019,culturalanalytics,Arts and Humanities;Computer and Information Science;Social Sciences
doi:10.7910/DVN/53KIX8,2019,harvard,Social Sciences
doi:10.7910/DVN/PSWLYR,2017,BJPolS,Social Sciences
doi:10.7910/DVN/5JMNRV,2018,isq,Social Sciences
doi:10.7910/DVN/8XU5R6,2020,ilundberg,Social Sciences
doi:10.7910/DVN/VSN1O0,2017,Jrenshon,Social Sciences
doi:10.7910/DVN/2NJV2P,2017,ipa,Medicine; Health and Life Sciences;Social Sciences
doi:10.7910/DVN/6QE7NN,2019,lsq,Social Sciences
doi:10.7910/DVN/28731,2015,restat,Social Sciences
doi:10.7910/DVN/ECGSUB,2018,PSRM,Social Sciences
doi:10.7910/DVN/XO0FXY,2019,pac,Arts and Humanities;Computer and Information Science;Other;Social Sciences
doi:10.7910/DVN/TT17NY,2017,harvard,Social Sciences
doi:10.7910/DVN/NP8SDI,2018,timothyfraser,Social Sciences
doi:10.7910/DVN/QPVRNG,2019,harvard,Social Sciences
doi:10.7910/DVN/ZT1EZG,2017,leuenberger17,Medicine; Health and Life Sciences
doi:10.7910/DVN/PGGXDO,2020,PSRM,Social Sciences
doi:10.7910/DVN/X6TKOO,2017,chanret,Social Sciences
doi:10.7910/DVN/FRBXQW,2020,polbehavior,Social Sciences
doi:10.7910/DVN/5WOMCQ,2018,vif-ergm,Social Sciences
doi:10.7910/DVN/Q2Z5NV,2019,harvard,Social Sciences
doi:10.7910/DVN/MGUYVO,2019,gov2001,Social Sciences
doi:10.7910/DVN/6L6JHG,2019,Replication_GU_GenderLPGAdoption,Social Sciences
doi:10.7910/DVN/PJOMF1,2019,harvard,Arts and Humanities;Social Sciences
doi:10.7910/DVN/PVQVWD,2018,miwahirofumi,Social Sciences
doi:10.7910/DVN/XIT20Z,2017,isq,Social Sciences
doi:10.7910/DVN/BXBJFW,2018,jop,Social Sciences
doi:10.7910/DVN/5SW2HJ,2019,harvard,Earth and Environmental Sciences
doi:10.7910/DVN/IGYXEF,2019,restat,Social Sciences
doi:10.7910/DVN/B1EJBO,2019,baleato,Computer and Information Science;Social Sciences
doi:10.7910/DVN/PNPR8C,2019,pan,Social Sciences
doi:10.7910/DVN/A3M7PY,2019,jop,Social Sciences
doi:10.7910/DVN/GS3IKP,2017,harvard,Social Sciences
doi:10.7910/DVN/OL3EVW,2019,fbailo,Social Sciences
doi:10.7910/DVN/V9LWUQ,2017,harvard,Social Sciences
doi:10.7910/DVN/EJSXMK,2016,heireport_pm10,Earth and Environmental Sciences;Mathematical Sciences;Medicine; Health and Life Sciences
doi:10.7910/DVN/KRE6KH,2020,harvard,Social Sciences
doi:10.7910/DVN/C3RRZD,2020,harvard,Social Sciences
doi:10.7910/DVN/6CMBEI,2016,PSRM,Social Sciences
doi:10.7910/DVN/PQHGIJ,2018,LAPS,Social Sciences
doi:10.7910/DVN/ZRUDFC,2018,polbehavior,Social Sciences
doi:10.7910/DVN/VCE7KN,2020,the_review,Social Sciences
doi:10.7910/DVN/ZSBLXF,2017,jhomola,Social Sciences
doi:10.7910/DVN/6KPFOK,2019,ajps,Social Sciences
doi:10.7910/DVN/AIPWNU,2019,harvard,Social Sciences
doi:10.7910/DVN/CKLIY1,2018,laughterperception,Social Sciences
doi:10.7910/DVN/XHCWHE,2016,harvard,Social Sciences
doi:10.7910/DVN/GVEKYP,2019,harvard,Social Sciences
doi:10.7910/DVN/HREANC,2018,researchandpolitics,Social Sciences
doi:10.7910/DVN/LFQZVU,2018,the_review,Social Sciences
doi:10.7910/DVN/7TRL0I,2018,xps,Social Sciences
doi:10.7910/DVN/19FSQZ,2019,jop,Social Sciences
doi:10.7910/DVN/JVBAWN,2018,BJPolS,Social Sciences
doi:10.7910/DVN/EA011Q,2019,maxgroemping,Social Sciences
doi:10.7910/DVN/4IOIWV,2016,pan,Social Sciences
doi:10.7910/DVN/LD8MDG,2018,jslapin,Social Sciences
doi:10.7910/DVN/ZAD5UE,2017,jop,Social Sciences
doi:10.7910/DVN/CRPAA8,2018,the_review,Social Sciences
doi:10.7910/DVN/PPVW17,2019,tboas,Social Sciences
doi:10.7910/DVN/YFLR9W,2019,harvard,Law;Social Sciences
doi:10.7910/DVN/FTFJTV,2019,ajps,Social Sciences
doi:10.7910/DVN/E43MOQ,2019,jop,Social Sciences
doi:10.7910/DVN/WKCZ9Z,2018,JPublicPolicy,Social Sciences
doi:10.7910/DVN/38BFML,2019,the_review,Social Sciences
doi:10.7910/DVN/JWJRME,2019,jop,Social Sciences
doi:10.7910/DVN/GA0X38,2017,the_review,Social Sciences
doi:10.7910/DVN/NO90AJ,2016,pan,Social Sciences
doi:10.7910/DVN/GBNGDF,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/LQ8B4W,2016,harvard,Social Sciences
doi:10.7910/DVN/FYJ6YT,2017,harvard,Arts and Humanities;Medicine; Health and Life Sciences;Other
doi:10.7910/DVN/PYWNTB,2015,jop,Social Sciences
doi:10.7910/DVN/5TWA0G,2015,jop,Social Sciences
doi:10.7910/DVN/GOWSAQ,2019,PSRM,Social Sciences
doi:10.7910/DVN/B2EGF3,2019,internationalinteractions,Social Sciences
doi:10.7910/DVN/NSRKXC,2015,leeper,Social Sciences
doi:10.7910/DVN/61JSZQ,2017,jop,Social Sciences
doi:10.7910/DVN/WQWUAL,2019,jlc,Law;Social Sciences
doi:10.7910/DVN/AEOMG5,2018,harvard,Social Sciences
doi:10.7910/DVN/HKDFTY,2019,harvard,Social Sciences
doi:10.7910/DVN/EHRNTO,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/IBK1LH,2018,mattingram,Computer and Information Science;Mathematical Sciences;Social Sciences
doi:10.7910/DVN/OMUPIZ,2020,harvard,Social Sciences
doi:10.7910/DVN/LVPPP7,2019,patrickbayer,Social Sciences
doi:10.7910/DVN/5LYJNZ,2016,gov2001,Social Sciences
doi:10.7910/DVN/V3LLLE,2019,harvard,Social Sciences
doi:10.7910/DVN/IDBNZC,2019,state_networks,Social Sciences
doi:10.7910/DVN/LCLJTT,2018,isq,Social Sciences
doi:10.7910/DVN/92SKA2,2017,jop,Social Sciences
doi:10.7910/DVN/HVRCKM,2020,agendaseeding,Social Sciences
doi:10.7910/DVN/JMPGZX,2018,jasonjjones,Medicine; Health and Life Sciences;Social Sciences
doi:10.7910/DVN/NQFPF3,2019,xps,Social Sciences
doi:10.7910/DVN/RJW5VN,2018,harvard,Other
doi:10.7910/DVN/83TXKI,2019,internationalinteractions,Social Sciences
doi:10.7910/DVN/NDZV42,2020,crescenzi,Social Sciences
doi:10.7910/DVN/TX3VWP,2018,isq,Social Sciences
doi:10.7910/DVN/11ZIRS,2017,securityforceethnicity,Social Sciences
doi:10.7910/DVN/FV7UOH,2019,perspectives,Social Sciences
doi:10.7910/DVN/YVCPDT,2018,harvard,Social Sciences
doi:10.7910/DVN/HFIV1A,2017,Mr_DLib,Computer and Information Science
doi:10.7910/DVN/WNMLPA,2018,jop,Social Sciences
doi:10.7910/DVN/MNK26U,2018,xps,Social Sciences
doi:10.7910/DVN/RG3OYS,2020,harvard,Social Sciences
doi:10.7910/DVN/AB5XYQ,2019,harvard,Social Sciences
doi:10.7910/DVN/SCN9LA,2016,polbehavior,Social Sciences
doi:10.7910/DVN/NZCGYX,2018,isq,Social Sciences
doi:10.7910/DVN/GIJBUU,2019,jop,Social Sciences
doi:10.7910/DVN/NH8ZQC,2017,securityforceethnicity,Social Sciences
doi:10.7910/DVN/YINHYL,2017,tpmnewsletter,Social Sciences
doi:10.7910/DVN/WNBBPZ,2018,rebeccacordell,Social Sciences
doi:10.7910/DVN/DL4JY8,2017,harvard,Social Sciences
doi:10.7910/DVN/BSUNGB,2019,harvard,Social Sciences
doi:10.7910/DVN/1B1MXY,2019,BJPolS,Social Sciences
doi:10.7910/DVN/YT45AO,2016,restat,Social Sciences
doi:10.7910/DVN/FAWCGP,2016,PSRM,Social Sciences
doi:10.7910/DVN/OTDDYP,2017,BJPolS,Social Sciences
doi:10.7910/DVN/PEXMHA,2016,polbehavior,Social Sciences
doi:10.7910/DVN/BFE6IU,2017,harvard,Social Sciences
doi:10.7910/DVN/1CCXS9,2017,JPublicPolicy,Social Sciences
doi:10.7910/DVN/OTEWG2,2017,BJPolS,Social Sciences
doi:10.7910/DVN/SQH6IF,2018,the_review,Social Sciences
doi:10.7910/DVN/IIYY15,2017,chanret,Law;Social Sciences
doi:10.7910/DVN/ECBF7Y,2018,jop,Social Sciences
doi:10.7910/DVN/8RCE84,2019,places,Earth and Environmental Sciences
doi:10.7910/DVN/SVSLO2,2020,isq,Social Sciences
doi:10.7910/DVN/2F8CWX,2019,pan,Social Sciences
doi:10.7910/DVN/JXOB6N,2019,world-politics,Social Sciences
doi:10.7910/DVN/KUWA5X,2016,ajps,Social Sciences
doi:10.7910/DVN/29497,2016,monogan,Social Sciences
doi:10.7910/DVN/GUAY8P,2017,polbehavior,Social Sciences
doi:10.7910/DVN/THCWHJ,2019,PSRM,Social Sciences
doi:10.7910/DVN/QQYHQS,2016,restat,Social Sciences
doi:10.7910/DVN/QE27H9,2015,pan,Social Sciences
doi:10.7910/DVN/WEGMVK,2019,gov2001,Medicine; Health and Life Sciences;Social Sciences
doi:10.7910/DVN/ZH5YFY,2017,PSRM,Social Sciences
doi:10.7910/DVN/A5ECON,2016,holger-doering,Social Sciences
doi:10.7910/DVN/7CJQ6H,2020,JAERE,Social Sciences
doi:10.7910/DVN/2HRRC7,2018,harvard,Social Sciences
doi:10.7910/DVN/CT9AFP,2016,shanepsingh,Social Sciences
doi:10.7910/DVN/2JDGQT,2019,samharper,Medicine; Health and Life Sciences;Social Sciences
doi:10.7910/DVN/WIRN6R,2017,pan,Social Sciences
doi:10.7910/DVN/4K7SQC,2017,marinagduque,Social Sciences
doi:10.7910/DVN/G3YJXY,2020,PSRM,Social Sciences
doi:10.7910/DVN/C1XYRJ,2017,BJPolS,Social Sciences
doi:10.7910/DVN/PBEOJZ,2017,PSRM,Social Sciences
doi:10.7910/DVN/ZPDOYT,2019,harvard,Earth and Environmental Sciences;Social Sciences
doi:10.7910/DVN/ON8RBD,2019,jop,Social Sciences
doi:10.7910/DVN/QKP9EJ,2017,restat,Social Sciences
doi:10.7910/DVN/BIZFP2,2016,PSRM,Social Sciences
doi:10.7910/DVN/BHEM8T,2017,jhomola,Social Sciences
doi:10.7910/DVN/9ZYFBX,2018,the_review,Social Sciences
doi:10.7910/DVN/F1CFFM,2018,PSRM,Social Sciences
doi:10.7910/DVN/ZAYTWC,2019,harvard,Social Sciences
doi:10.7910/DVN/KY3WAE,2016,researchandpolitics,Social Sciences
doi:10.7910/DVN/VGWY3L,2020,harvard,Social Sciences
doi:10.7910/DVN/AY32JZ,2018,the_review,Social Sciences
doi:10.7910/DVN/TDSJHE,2015,researchandpolitics,Social Sciences
doi:10.7910/DVN/CY7YWE,2020,pan,Social Sciences
doi:10.7910/DVN/2PTJJV,2019,PSRM,Social Sciences
doi:10.7910/DVN/8XSAZD,2020,harvard,Social Sciences
doi:10.7910/DVN/SS4LNN,2019,harvard,Social Sciences
doi:10.7910/DVN/EEZBDE,2019,uw_comm_luyuema_general_exam_method_,Other
doi:10.7910/DVN/GTFAQW,2019,harvard,Social Sciences
doi:10.7910/DVN/96DG2V,2019,researchandpolitics,Social Sciences
doi:10.7910/DVN/F6CVMG,2020,JPublicPolicy,Social Sciences
doi:10.7910/DVN/4R6NEQ,2019,harvard,Social Sciences
doi:10.7910/DVN/WKJJ3Z,2018,ajps,Social Sciences
doi:10.7910/DVN/KOM12J,2017,apezzola,Medicine; Health and Life Sciences;Social Sciences
doi:10.7910/DVN/YT8KWK,2016,PSRM,Social Sciences
doi:10.7910/DVN/DZ7JLC,2017,sfm,Social Sciences
doi:10.7910/DVN/M046SB,2019,ajps,Social Sciences
doi:10.7910/DVN/XKOVUN,2020,perspectives,Social Sciences
doi:10.7910/DVN/NWHYIQ,2019,harvard,Social Sciences
doi:10.7910/DVN/LPZLBF,2018,restat,Social Sciences
doi:10.7910/DVN/TMB5YV,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/9AWUYJ,2017,ajps,Social Sciences
doi:10.7910/DVN/NFZLI3,2019,the_review,Social Sciences
doi:10.7910/DVN/LUJC8I,2019,JPublicPolicy,Social Sciences
doi:10.7910/DVN/T9WESH,2017,jop,Social Sciences
doi:10.7910/DVN/MWGOZS,2018,perspectives,Social Sciences
doi:10.7910/DVN/UHYIUW,2018,harvard,Social Sciences
doi:10.7910/DVN/UZSQTV,2017,harvard,Social Sciences
doi:10.7910/DVN/9P0GXR,2020,harvard,Social Sciences
doi:10.7910/DVN/UAUEWV,2018,jlc,Law;Social Sciences
doi:10.7910/DVN/JOXCZY,2016,jop,Social Sciences
doi:10.7910/DVN/OQ64S8,2017,BJPolS,Social Sciences
doi:10.7910/DVN/96AJMC,2016,harvard,Social Sciences
doi:10.7910/DVN/RXWV0T,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/80J7OL,2018,jslapin,Social Sciences
doi:10.7910/DVN/SLXRVJ,2020,ajps,Social Sciences
doi:10.7910/DVN/ZPC0D3,2018,harvard,Social Sciences
doi:10.7910/DVN/XW0D8Q,2016,jmryan,Social Sciences
doi:10.7910/DVN/6YNZTE,2019,ajps,Social Sciences
doi:10.7910/DVN/LTF688,2015,ahlquist,Social Sciences
doi:10.7910/DVN/3KOQWQ,2018,the_review,Social Sciences
doi:10.7910/DVN/2QCPOI,2018,bpsr,Social Sciences
doi:10.7910/DVN/DUW1QY,2019,jop,Arts and Humanities
doi:10.7910/DVN/DZ6XJH,2019,harvard,Arts and Humanities
doi:10.7910/DVN/L8N4TR,2019,harvard,Social Sciences
doi:10.7910/DVN/X9KKQW,2017,governator,Social Sciences
doi:10.7910/DVN/EPBIDE,2017,internationalinteractions,Social Sciences
doi:10.7910/DVN/D8S4UY,2019,harvard,Social Sciences
doi:10.7910/DVN/JHOK6X,2019,harvard,Social Sciences
doi:10.7910/DVN/W9VWAJ,2017,BJPolS,Social Sciences
doi:10.7910/DVN/WBBAE3,2015,jop,Social Sciences
doi:10.7910/DVN/CLIGCI,2019,harvard,Social Sciences
doi:10.7910/DVN/VT4KJA,2016,ajps,Social Sciences
doi:10.7910/DVN/IJNZWK,2019,BJPolS,Social Sciences
doi:10.7910/DVN/SI5KBL,2017,harvard,Social Sciences
doi:10.7910/DVN/8OKVHY,2018,jop,Social Sciences
doi:10.7910/DVN/EZDWZH,2019,schimpfch,Social Sciences
doi:10.7910/DVN/2PAZJX,2018,harvard,Social Sciences
doi:10.7910/DVN/Q1VWG4,2020,timothyfraser,Earth and Environmental Sciences;Social Sciences
doi:10.7910/DVN/YMMSIC,2016,the_review,Law;Social Sciences
doi:10.7910/DVN/QTWTFF,2019,lsq,Social Sciences
doi:10.7910/DVN/VX59QI,2016,PSRM,Social Sciences
doi:10.7910/DVN/BX8N8S,2017,BJPolS,Social Sciences
doi:10.7910/DVN/MHE2PO,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/NOFKNI,2018,chanret,Law;Social Sciences
doi:10.7910/DVN/D9H5LH,2018,lsq,Social Sciences
doi:10.7910/DVN/TQYWJR,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/DAPJMB,2015,beber,Social Sciences
doi:10.7910/DVN/45GXK5,2019,pomeroy,Social Sciences
doi:10.7910/DVN/27KBWG,2017,isq,Social Sciences
doi:10.7910/DVN/N9TTIA,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/J4WZGT,2020,IOJ,Social Sciences
doi:10.7910/DVN/AIF4PI,2017,harvard,Social Sciences
doi:10.7910/DVN/7UBRAC,2018,jop,Social Sciences
doi:10.7910/DVN/SKV8MC,2018,gov2001,Social Sciences
doi:10.7910/DVN/QOD8ZU,2015,thinking-modulated-recent-linguistic-experience,Arts and Humanities;Social Sciences
doi:10.7910/DVN/KQNNLQ,2020,bk,Social Sciences
doi:10.7910/DVN/X7NKSL,2019,researchandpolitics,Social Sciences
doi:10.7910/DVN/7Q9ZSR,2017,jop,Social Sciences
doi:10.7910/DVN/YRGXYU,2017,BJPolS,Social Sciences
doi:10.7910/DVN/M2U0KV,2020,researchandpolitics,Social Sciences
doi:10.7910/DVN/UHIFDK,2019,harvard,Social Sciences
doi:10.7910/DVN/E2187A,2015,jop,Social Sciences
doi:10.7910/DVN/CKTAZX,2018,SBIR-STTR_Data,Social Sciences
doi:10.7910/DVN/XKMNAO,2019,the_review,Social Sciences
doi:10.7910/DVN/JTAXAD,2019,harvard,Social Sciences
doi:10.7910/DVN/ZRMLCR,2019,harvard,Social Sciences
doi:10.7910/DVN/5DPHSO,2020,dellaposta,Social Sciences
doi:10.7910/DVN/6HALRE,2018,polbehavior,Social Sciences
doi:10.7910/DVN/R9PVOF,2017,isq,Social Sciences
doi:10.7910/DVN/FAG8BP,2018,isq,Social Sciences
doi:10.7910/DVN/HZNJRU,2019,harvard,Arts and Humanities;Social Sciences
doi:10.7910/DVN/TTCTIY,2017,harvard,Social Sciences
doi:10.7910/DVN/IK9MQE,2019,harvard,Medicine; Health and Life Sciences;Social Sciences
doi:10.7910/DVN/DKKP4I,2018,jop,Social Sciences
doi:10.7910/DVN/9Z1URU,2019,roumanias,Social Sciences
doi:10.7910/DVN/0O1GW1,2019,Bioversity,Agricultural Sciences;Earth and Environmental Sciences
doi:10.7910/DVN/ORTDUM,2016,PSRM,Social Sciences
doi:10.7910/DVN/TL0PZD,2020,ajps,Social Sciences
doi:10.7910/DVN/YLVI5Z,2016,jjm_polbeh,Social Sciences
doi:10.7910/DVN/FGNBHX,2018,culturalanalytics,Arts and Humanities
doi:10.7910/DVN/ZJG8EQ,2019,researchandpolitics,Social Sciences
doi:10.7910/DVN/S9MIJU,2016,ajps,Social Sciences
doi:10.7910/DVN/RPZLMY,2016,pan,Social Sciences
doi:10.7910/DVN/CJZB8X,2016,PSRM,Social Sciences
doi:10.7910/DVN/HHOIA4,2018,pan,Social Sciences
doi:10.7910/DVN/VLOHVI,2016,harvard,Social Sciences
doi:10.7910/DVN/PVWSOY,2020,lockinlighting,Earth and Environmental Sciences;Social Sciences
doi:10.7910/DVN/YDJZC0,2019,harvard,Arts and Humanities;Business and Management;Computer and Information Science;Law;Social Sciences
doi:10.7910/DVN/L2IOZO,2017,harvard,Business and Management;Social Sciences
doi:10.7910/DVN/WUOAB7,2018,jop,Social Sciences
doi:10.7910/DVN/KE92DO,2017,SpaceBetweenUs,Social Sciences
doi:10.7910/DVN/EUQMPP,2019,harvard,Social Sciences
doi:10.7910/DVN/HMI4WY,2019,jop,Social Sciences
doi:10.7910/DVN/PE8TWP,2016,harvard,Social Sciences
doi:10.7910/DVN/TXEFZI,2017,jop,Social Sciences
doi:10.7910/DVN/PCRG1D,2018,harvard,Social Sciences
doi:10.7910/DVN/29489,2015,zucco,Social Sciences
doi:10.7910/DVN/FP8THH,2017,harvard,Social Sciences
doi:10.7910/DVN/FFGFEG,2018,harvard,Computer and Information Science;Social Sciences
doi:10.7910/DVN/7QHIXX,2015,tboas,Social Sciences
doi:10.7910/DVN/OFQUAN,2020,zucco,Social Sciences
doi:10.7910/DVN/PVNEPJ,2019,harvard,Social Sciences
doi:10.7910/DVN/ADFBT7,2018,monogan,Social Sciences
