,doi,file,r32,r36,r40,result,success
11,doi:10.7910/DVN/ZWAGXZ,experiment 3 analysis REPLICATION.R,"Error in file(file, 'rt') : cannot open the connection",Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install',Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install',Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install',0.0
12,doi:10.7910/DVN/NVRBC9,Lueders_et al_2017_driverslicenses_replicationcode_final.R,Error in read.dta('Lueders_et al_2017_driverslicenses_replication.dta') :   not a Stata version 5-12 .dta file,Error in read.dta('Lueders_et al_2017_driverslicenses_replication.dta') :   not a Stata version 5-12 .dta file,Error in read.dta('Lueders_et al_2017_driverslicenses_replication.dta') :   not a Stata version 5-12 .dta file,Error in read.dta('Lueders_et al_2017_driverslicenses_replication.dta') :   not a Stata version 5-12 .dta file,0.0
13,doi:10.7910/DVN/NVRBC9,vcovCluster.R,success,success,success,success,1.0
14,doi:10.7910/DVN/WCTILJ,Script.R,"Error in ifelse(!require(readxl), install.packages('readxl', dependencies = TRUE),  :   replacement has length zero",Error : `path` does not exist: 'diretrio',Error : `path` does not exist: 'diretrio',Error : `path` does not exist: 'diretrio',0.0
15,doi:10.7910/DVN/LRSICH,Chapter7Master.r,"Error in apply(estfun(fm), 2, function(x) tapply(x, cluster, sum)) :   could not find function 'estfun'",Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',0.0
16,doi:10.7910/DVN/LRSICH,TableA26.r,"Error in apply(estfun(fm), 2, function(x) tapply(x, cluster, sum)) :   could not find function 'estfun'",Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',0.0
17,doi:10.7910/DVN/LRSICH,TableA27.r,"Error in apply(estfun(fm), 2, function(x) tapply(x, cluster, sum)) :   could not find function 'estfun'",Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',0.0
18,doi:10.7910/DVN/LRSICH,TableA28.r,"Error in apply(estfun(fm), 2, function(x) tapply(x, cluster, sum)) :   could not find function 'estfun'",Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',0.0
19,doi:10.7910/DVN/LRSICH,TableA29Figure7_4.r,"Error in apply(estfun(fm), 2, function(x) tapply(x, cluster, sum)) :   could not find function 'estfun'",Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',0.0
20,doi:10.7910/DVN/LRSICH,TableA30.r,"Error in apply(estfun(fm), 2, function(x) tapply(x, cluster, sum)) :   could not find function 'estfun'",Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',0.0
21,doi:10.7910/DVN/TKTN5J,unknown,time limit exceeded,,,,
22,doi:10.7910/DVN/KKS1R0,ADW_positions_master.r,Error in sort(stopwords(kind = 'spanish')) :   could not find function 'stopwords',Error in makeRestartList(...) : reached elapsed time limit,,,
23,doi:10.7910/DVN/KKS1R0,as_mcmc.R,"Error in eval(expr, envir, enclos) :   could not find function 'as.mcmc.list'","Error in as.mcmc.list(lapply(arg.nb.b.80, as.mcmc)) :   could not find function 'as.mcmc.list'",,,
24,doi:10.7910/DVN/KKS1R0,data_bayes_out.R,Error in as.matrix(mcmcdat) : object 'arg.nb.b.80.mcmc' not found,Error in as.matrix(mcmcdat) : object 'arg.nb.b.80.mcmc' not found,,,
25,doi:10.7910/DVN/KKS1R0,data_management_textfiles.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",,,
26,doi:10.7910/DVN/KKS1R0,ep_idealpoints_and_errors_bayes80.R,"Error in eval(expr, envir, enclos) :   could not find function 'ep.wf.negbin.b'",Error in ep.wf.negbin.b(tdmat_arg80) :   could not find function 'ep.wf.negbin.b',,,
27,doi:10.7910/DVN/KKS1R0,ep_jags_functions.R,success,success,,success,1.0
28,doi:10.7910/DVN/KKS1R0,plots_positions_bayes.R,"Error in data.frame(dat.pres.pos.all80$year, dat.pres.pos.all80$coun,  :   object 'dat.pres.pos.all80' not found","Error in data.frame(dat.pres.pos.all80$year, dat.pres.pos.all80$coun,  :   object 'dat.pres.pos.all80' not found",,,
29,doi:10.7910/DVN/KKS1R0,posteriorchecks.R,"Error in eval(expr, envir, enclos) : could not find function 'denplot'","Error in denplot(dat, parms = c('theta[1]')) :   could not find function 'denplot'",,,
30,doi:10.7910/DVN/KKS1R0,prepare_data_set.R,Error in dat.a.wf.out(names.arg) : object 'names.arg' not found,Error in dat.a.wf.out(names.arg) : object 'names.arg' not found,,,
31,doi:10.7910/DVN/KKS1R0,preparing_speeches_file.R,"Error in eval(expr, envir, enclos) : could not find function 'wfm.maker'","Error in wfm.maker('data/input/speeches/arg', 'data/intermediates/wfm_matrices/wfm_arg.csv') :   could not find function 'wfm.maker'",,,
32,doi:10.7910/DVN/KKS1R0,preparing_speeches_function.R,Error in sort(stopwords(kind = 'spanish')) :   could not find function 'stopwords',Error in stopwords(kind = 'spanish') :   could not find function 'stopwords',,,
33,doi:10.7910/DVN/KKS1R0,save_data_bayes.R,"Error in save(dat.pres.pos.arg80, file = 'data/output/positions/pres_pos_arg80.RData') :   object 'dat.pres.pos.arg80' not found","Error in save(dat.pres.pos.arg80, file = 'data/output/positions/pres_pos_arg80.RData') :   object 'dat.pres.pos.arg80' not found",,,
34,doi:10.7910/DVN/KKS1R0,wfm_filter.R,"Error in wfm.filter(tdmat_arg, 0.6) : object 'tdmat_arg' not found","Error in wfm.filter(tdmat_arg, 0.6) : object 'tdmat_arg' not found",,,
35,doi:10.7910/DVN/MDAHHQ,calculate_total_covid19_deaths_usa.R,success,success,,success,1.0
36,doi:10.7910/DVN/QKP9EJ,code2.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
37,doi:10.7910/DVN/QKP9EJ,code3.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
38,doi:10.7910/DVN/QKP9EJ,code5.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
39,doi:10.7910/DVN/QKP9EJ,code7.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
40,doi:10.7910/DVN/QKP9EJ,code8.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
41,doi:10.7910/DVN/QKP9EJ,fine_grid.R,success,success,success,success,1.0
42,doi:10.7910/DVN/QKP9EJ,summarySE.R,success,success,success,success,1.0
43,doi:10.7910/DVN/15YF0R,BDD_WD2018_replication.R,"Error in file(file, 'rt') : cannot open the connection",,,,
44,doi:10.7910/DVN/15YF0R,BDD_WD2018_replication_SI.R,"Error in file(file, 'rt') : cannot open the connection","Error in ggplot(dta.coef, aes(x = names, y = ates, ymin = ylo, ymax = yhi)) :   could not find function 'ggplot'",,,
45,doi:10.7910/DVN/15YF0R,inter.binning.90.R,success,,,success,1.0
46,doi:10.7910/DVN/15YF0R,multiplot.R,success,,,success,1.0
47,doi:10.7910/DVN/15YF0R,ols.R,success,,,success,1.0
48,doi:10.7910/DVN/15YF0R,outcome_var_mean_imp_setup.R,"Error in ifelse(M$B_satisfied_with_UWA_info_on_RS == 'very_dissatisf',  :   object 'M' not found",,,,
49,doi:10.7910/DVN/15YF0R,outcome_var_setup.R,"Error in ifelse(M$B_satisfied_with_UWA_info_on_RS == 'very_dissatisf',  :   object 'M' not found",,,,
50,doi:10.7910/DVN/XRBKEY,josematheus-medeiros-script-tf-ad-ufpe-2018.R,"Error in eval(expr, envir, enclos) : could not find function 'coefplot'",Error in makeRestartList(...) : reached elapsed time limit,,,
51,doi:10.7910/DVN/CT9AFP,EATI_replication.R,"Error in eval(expr, envir, enclos) :   could not find function 'readShapePoly'",,,,
52,doi:10.7910/DVN/YM7IWP,01_itanes.R,"Error in eval(expr, envir, enclos) : could not find function 'read_sav'","Error in df_parse_sav_file(spec, encoding, user_na) :   Failed to parse /usr/workdir/ITA1996_(itvers2005).sav: The file's timestamp string is invalid.","Error in df_parse_sav_file(spec, encoding, user_na, cols_skip, n_max,  :   Failed to parse /usr/workdir/ITA1996_(itvers2005).sav: The file's timestamp string is invalid.","Error in df_parse_sav_file(spec, encoding, user_na) :   Failed to parse /usr/workdir/ITA1996_(itvers2005).sav: The file's timestamp string is invalid.",0.0
53,doi:10.7910/DVN/A3NO2G,unknown,time limit exceeded,,time limit exceeded,,
54,doi:10.7910/DVN/XRR0HM,unknown,time limit exceeded,,,,
55,doi:10.7910/DVN/HXNVTQ,usa-decomp-plots.R,Error in read.dta('age-race.dta') :   unable to open file: 'No such file or directory',Error in read.dta('age-race.dta') :   unable to open file: 'No such file or directory',Error in read.dta('age-race.dta') :   unable to open file: 'No such file or directory',Error in read.dta('age-race.dta') :   unable to open file: 'No such file or directory',0.0
56,doi:10.7910/DVN/SNQG8P,naes_ft.r,"Error in eval(expr, envir, enclos) : could not find function 'cem'","Error in cem(treatment = 'window14', data = matching.data, drop = c('window10',  :   could not find function 'cem'","Error in cem(treatment = 'window14', data = matching.data, drop = c('window10',  :   could not find function 'cem'","Error in cem(treatment = 'window14', data = matching.data, drop = c('window10',  :   could not find function 'cem'",0.0
57,doi:10.7910/DVN/FAH6KL,Visconti (2018) - LegislativeRepresentation.R,Error in read.dta('Your/File/Path/Here/ReplicationFiles/dataset.dta') :   unable to open file: 'No such file or directory',Error in read.dta('Your/File/Path/Here/ReplicationFiles/dataset.dta') :   unable to open file: 'No such file or directory',Error in read.dta('Your/File/Path/Here/ReplicationFiles/dataset.dta') :   unable to open file: 'No such file or directory',Error in read.dta('Your/File/Path/Here/ReplicationFiles/dataset.dta') :   unable to open file: 'No such file or directory',0.0
58,doi:10.7910/DVN/WCXK3Z,collect-data.r,"Error in eval(expr, envir, enclos) :   could not find function 'install_github'",Error in install_github('SMAPPNYU/smappR') :   could not find function 'install_github',Error in install_github('SMAPPNYU/smappR') :   could not find function 'install_github',Error in install_github('SMAPPNYU/smappR') :   could not find function 'install_github',0.0
59,doi:10.7910/DVN/VT4KJA,ivsensianalysis.R,"Error in eval(expr, envir, enclos) : could not find function 'read.dta13'",Error in read.dta13('MNCs&Corruption.dta') :   could not find function 'read.dta13',Error in read.dta13('MNCs&Corruption.dta') :   could not find function 'read.dta13',Error in read.dta13('MNCs&Corruption.dta') :   could not find function 'read.dta13',0.0
60,doi:10.7910/DVN/8OKVHY,mdr_politicization_appendix_figures.R,"Error in eval(expr, envir, enclos) : could not find function 'read.dta13'","Error in read.dta13('Data/mdr/expertise_paper/SFGSII_mdr_exp_paper_forR.dta',  :   could not find function 'read.dta13'","Error in read.dta13('Data/mdr/expertise_paper/SFGSII_mdr_exp_paper_forR.dta',  :   could not find function 'read.dta13'","Error in read.dta13('Data/mdr/expertise_paper/SFGSII_mdr_exp_paper_forR.dta',  :   could not find function 'read.dta13'",0.0
61,doi:10.7910/DVN/8OKVHY,mdr_politicization_jop_bootstrap_figures.R,"Error in eval(expr, envir, enclos) : could not find function 'read.dta13'","Error in data[data$sample_inv_outside_exp == 1, ] :   incorrect number of dimensions","Error in data[data$sample_inv_outside_exp == 1, ] :   incorrect number of dimensions","Error in data[data$sample_inv_outside_exp == 1, ] :   incorrect number of dimensions",0.0
62,doi:10.7910/DVN/8OKVHY,mdr_politicization_jop_mission_coding.R,"Error in eval(expr, envir, enclos) : could not find function 'read.xlsx2'","Error in read.xlsx2(file = 'C:/Users/richar33/Dropbox/Papers/expertise/budget_missions/function_subfunction.xlsx',  :   could not find function 'read.xlsx2'","Error in read.xlsx2(file = 'C:/Users/richar33/Dropbox/Papers/expertise/budget_missions/function_subfunction.xlsx',  :   could not find function 'read.xlsx2'","Error in read.xlsx2(file = 'C:/Users/richar33/Dropbox/Papers/expertise/budget_missions/function_subfunction.xlsx',  :   could not find function 'read.xlsx2'",0.0
63,doi:10.7910/DVN/8OKVHY,mdr_politicization_rep_dem_barplots.R,"Error in eval(expr, envir, enclos) : could not find function 'read.dta13'","Error in table(x$rep, x$pol_app1) :   all arguments must have the same length","Error in table(x$rep, x$pol_app1) :   all arguments must have the same length","Error in table(x$rep, x$pol_app1) :   all arguments must have the same length",0.0
64,doi:10.7910/DVN/FTYHPJ,unknown,time limit exceeded,,,,
65,doi:10.7910/DVN/JJJXLV,BasSchub_JCR_Replication.R,Error in ptr() : reached elapsed time limit,Error in makeRestartList(...) : reached elapsed time limit,Error in makeRestartList(...) : reached elapsed time limit,Error in makeRestartList(...) : reached elapsed time limit,0.0
66,doi:10.7910/DVN/J9IJGM,study1-analysis.R,"Error in robust.se(model, clustervar) :   could not find function 'coeftest'","Error in apsrtable(all.model.number, all.model.number.weighted, all.model.number.dem,  :   could not find function 'apsrtable'","Error in apsrtable(all.model.number, all.model.number.weighted, all.model.number.dem,  :   could not find function 'apsrtable'","Error in apsrtable(all.model.number, all.model.number.weighted, all.model.number.dem,  :   could not find function 'apsrtable'",0.0
67,doi:10.7910/DVN/J9IJGM,study1and2demographics.R,success,success,success,success,1.0
68,doi:10.7910/DVN/N0ZRDZ,FigureA8.R.R,"Error in read.dta('replication/temp-R.dta', convert.factors = TRUE) :   unable to open file: 'No such file or directory'","Error in read.dta('replication/temp-R.dta', convert.factors = TRUE) :   unable to open file: 'No such file or directory'",,,
69,doi:10.7910/DVN/ERMN4H,replication code.R,"Error in eval(expr, envir, enclos) : could not find function 'p_load'","Error in p_load(haven, rio, srvyr, survey, foreign, MASS, zeligverse,  :   could not find function 'p_load'","Error in p_load(haven, rio, srvyr, survey, foreign, MASS, zeligverse,  :   could not find function 'p_load'","Error in p_load(haven, rio, srvyr, survey, foreign, MASS, zeligverse,  :   could not find function 'p_load'",0.0
70,doi:10.7910/DVN/8TB7GO,evaluate_bounds.R,"Error in eval(expr, envir, enclos) :   Missing arguments: Provide DD threshold and path to split 0 and path to split 1","Error in eval(ei, envir) :   Missing arguments: Provide DD threshold and path to split 0 and path to split 1","Error in eval(ei, envir) :   Missing arguments: Provide DD threshold and path to split 0 and path to split 1","Error in eval(ei, envir) :   Missing arguments: Provide DD threshold and path to split 0 and path to split 1",0.0
71,doi:10.7910/DVN/8TB7GO,example_simulations.R,"Error in calculateAndEvaluateBounds(generatedData$x, generatedData$t,  :   could not find function 'vcovHC'","Error in vcovHC(reg, 'HC1') : could not find function 'vcovHC'","Error in vcovHC(reg, 'HC1') : could not find function 'vcovHC'","Error in vcovHC(reg, 'HC1') : could not find function 'vcovHC'",0.0
72,doi:10.7910/DVN/8TB7GO,generate_bounds_for_all_datasets.R,"Error in eval(expr, envir, enclos) :   Missing arguments: Provide split number (0 or 1) and path to root directory","Error in eval(ei, envir) :   Missing arguments: Provide split number (0 or 1) and path to root directory","Error in eval(ei, envir) :   Missing arguments: Provide split number (0 or 1) and path to root directory","Error in eval(ei, envir) :   Missing arguments: Provide split number (0 or 1) and path to root directory",0.0
73,doi:10.7910/DVN/8TB7GO,generate_figures.R,"Error in basename(file.path(SAVEDIR, sprintf('fig1_intution.pdf')), height = kFigureWidth,  :   unused arguments (height = kFigureWidth, width = kFigureWidth)","Error in basename(file.path(SAVEDIR, sprintf('fig1_intution.pdf')), height = kFigureWidth,  :   unused arguments (height = kFigureWidth, width = kFigureWidth)","Error in basename(file.path(SAVEDIR, sprintf('fig1_intution.pdf')), height = kFigureWidth,  :   unused arguments (height = kFigureWidth, width = kFigureWidth)","Error in basename(file.path(SAVEDIR, sprintf('fig1_intution.pdf')), height = kFigureWidth,  :   unused arguments (height = kFigureWidth, width = kFigureWidth)",0.0
74,doi:10.7910/DVN/PTPGED,GIGANTEA.R,success,success,success,success,1.0
75,doi:10.7910/DVN/PTPGED,RunGenomeBasedModel.R,Error in Rcpp::sourceCpp('GIGANTEA.cpp') :   Error 1 occurred building shared library.,"Error in GenomeBasedModel(Input, Freevec, Y, Missing, Np, Geno, Methodcode,  :   could not find function 'GenomeBasedModel'","Error in GenomeBasedModel(Input, Freevec, Y, Missing, Np, Geno, Methodcode,  :   could not find function 'GenomeBasedModel'","Error in GenomeBasedModel(Input, Freevec, Y, Missing, Np, Geno, Methodcode,  :   could not find function 'GenomeBasedModel'",0.0
76,doi:10.7910/DVN/JNFMNQ,JOP_table 3.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
77,doi:10.7910/DVN/JNFMNQ,JOP_tables 1 and 2.R,Error in file.choose() : file choice cancelled,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
78,doi:10.7910/DVN/9M6EHS,Indicator_Calculation_Mother_Script.R,"Error in gsub('.*_', '', project_ID) : object 'project_ID' not found","Error in gsub('.*_', '', project_ID) : object 'project_ID' not found","Error in gsub('.*_', '', project_ID) : object 'project_ID' not found","Error in gsub('.*_', '', project_ID) : object 'project_ID' not found",0.0
79,doi:10.7910/DVN/9M6EHS,Livestock_Product_Calculations.R,Error in is.data.frame(x) : object 'dat_all' not found,Error in is.data.frame(x) : object 'dat_all' not found,Error in is.data.frame(x) : object 'dat_all' not found,Error in is.data.frame(x) : object 'dat_all' not found,0.0
80,doi:10.7910/DVN/9M6EHS,Off_farm_gender.R,"Error in eval(expr, envir, enclos) : object 'dat_all' not found","Error in eval(ei, envir) : object 'dat_all' not found","Error in eval(ei, envir) : object 'dat_all' not found","Error in eval(ei, envir) : object 'dat_all' not found",0.0
81,doi:10.7910/DVN/9M6EHS,Parcelles_Land_Area.R,Error in is.data.frame(x) : object 'dat_all' not found,Error in is.data.frame(x) : object 'dat_all' not found,Error in is.data.frame(x) : object 'dat_all' not found,Error in is.data.frame(x) : object 'dat_all' not found,0.0
82,doi:10.7910/DVN/9M6EHS,Prices.R,Error in nrow(dat_all) : object 'dat_all' not found,Error in nrow(dat_all) : object 'dat_all' not found,Error in nrow(dat_all) : object 'dat_all' not found,Error in nrow(dat_all) : object 'dat_all' not found,0.0
83,doi:10.7910/DVN/9M6EHS,REVERSE_TRUE_FALSE_SCRIPT.R,success,success,success,success,1.0
84,doi:10.7910/DVN/9M6EHS,Setting_Universal_Units.R,success,success,success,success,1.0
85,doi:10.7910/DVN/9M6EHS,TRUE_FALSE_SCRIPT.R,success,success,success,success,1.0
86,doi:10.7910/DVN/9M6EHS,Total_Incomes.R,Error in data.frame(livestock_income = livestock_income) :   object 'livestock_income' not found,Error in data.frame(livestock_income = livestock_income) :   object 'livestock_income' not found,Error in data.frame(livestock_income = livestock_income) :   object 'livestock_income' not found,Error in data.frame(livestock_income = livestock_income) :   object 'livestock_income' not found,0.0
87,doi:10.7910/DVN/9M6EHS,Value_Calculations.R,Error in nrow(dat_all) : object 'dat_all' not found,Error in nrow(dat_all) : object 'dat_all' not found,Error in nrow(dat_all) : object 'dat_all' not found,Error in nrow(dat_all) : object 'dat_all' not found,0.0
88,doi:10.7910/DVN/9M6EHS,Whole_Livestock_Calculations.R,"Error in data.frame(coeff_cattle * as.numeric(dat_all$livestock_heads_cattle),  :   object 'coeff_cattle' not found","Error in data.frame(coeff_cattle * as.numeric(dat_all$livestock_heads_cattle),  :   object 'coeff_cattle' not found","Error in data.frame(coeff_cattle * as.numeric(dat_all$livestock_heads_cattle),  :   object 'coeff_cattle' not found","Error in data.frame(coeff_cattle * as.numeric(dat_all$livestock_heads_cattle),  :   object 'coeff_cattle' not found",0.0
89,doi:10.7910/DVN/CDFEGV,GenMatchCode.R,"Error in eval(expr, envir, enclos) : could not find function 'GenMatch'","Error in GenMatch(fit.func = lower.bound, Tr = college, X = Xmat, BalanceMatrix = out,  :   could not find function 'GenMatch'","Error in GenMatch(fit.func = lower.bound, Tr = college, X = Xmat, BalanceMatrix = out,  :   could not find function 'GenMatch'","Error in GenMatch(fit.func = lower.bound, Tr = college, X = Xmat, BalanceMatrix = out,  :   could not find function 'GenMatch'",0.0
90,doi:10.7910/DVN/CDFEGV,ReplicationCode.R,"Error in eval(expr, envir, enclos) : could not find function 'Match'",,,,
91,doi:10.7910/DVN/CDFEGV,funcs.R,success,success,success,success,1.0
92,doi:10.7910/DVN/8W0PXP,mexcrimpro20180216.R,"Error in eval(expr, envir, enclos) : could not find function 'readOGR'","Error in readOGR(dsn = 'shapefiles', layer = 'Mexico_congruence') :   could not find function 'readOGR'","Error in readOGR(dsn = 'shapefiles', layer = 'Mexico_congruence') :   could not find function 'readOGR'","Error in readOGR(dsn = 'shapefiles', layer = 'Mexico_congruence') :   could not find function 'readOGR'",0.0
93,doi:10.7910/DVN/CL183T,TextMiningScript.R,"Error in eval(expr, envir, enclos) : could not find function 'Corpus'",Error in Corpus(DirSource(cname)) : could not find function 'Corpus',Error in Corpus(DirSource(cname)) : could not find function 'Corpus',Error in Corpus(DirSource(cname)) : could not find function 'Corpus',0.0
94,doi:10.7910/DVN/MTBJ3S,GMC_plots_immigrationfact.R,"Error in ggtitle('Migrant apprehensions in El Paso, San Diego, and Tucson sectors',  :   unused argument (subtitle = 'FY 1989-2019 (adjusted for FUA and UCA data)')","Error in grid.arrange(threeS, tuxon, remains, westward, ncol = 2, nrow = 2,  :   could not find function 'grid.arrange'","Error in grid.arrange(threeS, tuxon, remains, westward, ncol = 2, nrow = 2,  :   could not find function 'grid.arrange'","Error in grid.arrange(threeS, tuxon, remains, westward, ncol = 2, nrow = 2,  :   could not find function 'grid.arrange'",0.0
95,doi:10.7910/DVN/TWHEZ9,Campbell_Detecting_PA_2018_Replication.R,"Error in eval(expr, envir, enclos) :   could not find function 'sim_egonets'","Error in sim_egonets(form = c('edges', 'gwesp(0.8,fixed=TRUE)', 'gwdegree(decay=0.8,fixed=TRUE)'),  :   could not find function 'sim_egonets'","Error in sim_egonets(form = c('edges', 'gwesp(0.8,fixed=TRUE)', 'gwdegree(decay=0.8,fixed=TRUE)'),  :   could not find function 'sim_egonets'","Error in sim_egonets(form = c('edges', 'gwesp(0.8,fixed=TRUE)', 'gwdegree(decay=0.8,fixed=TRUE)'),  :   could not find function 'sim_egonets'",0.0
96,doi:10.7910/DVN/TWHEZ9,Campbell_Detecting_PA_2018_Run.R,"Error in eval(expr, envir, enclos) :   could not find function 'sim_egonets'",Error in makeRestartList(...) : reached elapsed time limit,,,
97,doi:10.7910/DVN/LUGBL1,ButlerHomola_Excludability_Analysis.R,"Error in eval(expr, envir, enclos) : could not find function 'stargazer'","Error in stargazer(d, e, f, g, omit.stat = c('f', 'ser', 'adj.rsq'), star.cutoffs = c(0.1,  :   could not find function 'stargazer'","Error in stargazer(d, e, f, g, omit.stat = c('f', 'ser', 'adj.rsq'), star.cutoffs = c(0.1,  :   could not find function 'stargazer'","Error in stargazer(d, e, f, g, omit.stat = c('f', 'ser', 'adj.rsq'), star.cutoffs = c(0.1,  :   could not find function 'stargazer'",0.0
98,doi:10.7910/DVN/LUGBL1,ButlerHomola_Excludability_Appendix.R,success,success,success,success,1.0
99,doi:10.7910/DVN/FCHU0J,1_lift_data_cleaner.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
100,doi:10.7910/DVN/FCHU0J,2_demographics_data_cleaner.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
101,doi:10.7910/DVN/FCHU0J,3_lift_and_demo_merge_data.R,"Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection",0.0
