,doi,success,publicationDate,publisher,subject,type,name
36,doi:10.7910/DVN/1GHCOT,0.0,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
37,doi:10.7910/DVN/1HNIFT,1.0,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
38,doi:10.7910/DVN/1HPT9N,0.0,2018,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
39,doi:10.7910/DVN/1IWN5N,0.0,2018,jslapin,Social Sciences,RESEARCHERS,Jonathan Slapin Dataverse
40,doi:10.7910/DVN/1JNPUA,1.0,2018,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
41,doi:10.7910/DVN/1KIEXG,0.0,2018,xps,Social Sciences,JOURNALS,Journal of Experimental Political Science
42,doi:10.7910/DVN/1LAK3R,0.0,2017,mleven,Social Sciences,RESEARCHERS,Matt Levendusky Dataverse
43,doi:10.7910/DVN/1MGPNZ,0.0,2018,harvard,Computer and Information Science;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
44,doi:10.7910/DVN/1Q2Z92,1.0,2018,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
45,doi:10.7910/DVN/1QJCDJ,,2019,spid,Social Sciences,RESEARCH_GROUP,SPID: State Policy Innovation and Diffusion Database Dataverse
46,doi:10.7910/DVN/1SBQCX,1.0,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
47,doi:10.7910/DVN/1SBYFJ,,2018,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
48,doi:10.7910/DVN/1VDZE9,0.0,2019,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
49,doi:10.7910/DVN/1WDJVC,,2018,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
50,doi:10.7910/DVN/1WDVZB,0.0,2018,perspectives,Social Sciences,JOURNALS,Perspectives on Politics
51,doi:10.7910/DVN/1WZCEA,1.0,2019,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
52,doi:10.7910/DVN/1YG7BI,1.0,2018,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
53,doi:10.7910/DVN/1ZOEEX,1.0,2018,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
54,doi:10.7910/DVN/229VVX,0.0,2016,napaxton,Social Sciences,RESEARCHERS,Nathan A. Paxton Dataverse
55,doi:10.7910/DVN/22O4DB,0.0,2017,researchandpolitics,Social Sciences,JOURNALS,Research & Politics Dataverse
56,doi:10.7910/DVN/24122,,2018,Schoonvelde,Social Sciences,RESEARCHERS,Martijn  Schoonvelde Dataverse
57,doi:10.7910/DVN/24259,,2014,javiermarquez,Social Sciences,RESEARCHERS,Javier Márquez Dataverse
58,doi:10.7910/DVN/25641,0.0,2017,tomlouwerse,Social Sciences,RESEARCHERS,Tom Louwerse Dataverse
59,doi:10.7910/DVN/26584,,2016,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
60,doi:10.7910/DVN/26905,1.0,2016,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
61,doi:10.7910/DVN/26935,1.0,2015,king,Social Sciences,RESEARCHERS,Gary King Dataverse
62,doi:10.7910/DVN/26HDEO,,2020,IOJ,Social Sciences,JOURNALS,International Organization (IO) Journal Dataverse
63,doi:10.7910/DVN/26VAXI,0.0,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
64,doi:10.7910/DVN/27564,1.0,2014,pan,Law;Social Sciences,JOURNALS,Political Analysis Dataverse
65,doi:10.7910/DVN/27702,1.0,2016,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
66,doi:10.7910/DVN/27864,1.0,2016,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
67,doi:10.7910/DVN/27KBWG,0.0,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
68,doi:10.7910/DVN/28731,1.0,2015,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
69,doi:10.7910/DVN/28763,0.0,2015,djmallinson,Social Sciences,RESEARCHERS,Daniel J Mallinson Dataverse
70,doi:10.7910/DVN/29080,,2015,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
71,doi:10.7910/DVN/29171,,2016,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
72,doi:10.7910/DVN/29489,,2015,zucco,Social Sciences,UNCATEGORIZED,Cesar Zucco Dataverse
73,doi:10.7910/DVN/29497,1.0,2016,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
74,doi:10.7910/DVN/2BBRQ6,1.0,2019,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
75,doi:10.7910/DVN/2BF2HB,1.0,2016,researchandpolitics,Social Sciences,JOURNALS,Research & Politics Dataverse
76,doi:10.7910/DVN/2CS1VF,1.0,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
77,doi:10.7910/DVN/2DLCPZ,1.0,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
78,doi:10.7910/DVN/2E2M9Z,0.0,2018,ajps,Business and Management;Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
79,doi:10.7910/DVN/2F8CWX,1.0,2019,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
80,doi:10.7910/DVN/2FM7Z3,,2018,jlc,Social Sciences,JOURNALS,Journal of Law and Courts Dataverse
81,doi:10.7910/DVN/2HCGWN,1.0,2018,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
82,doi:10.7910/DVN/2HRRC7,0.0,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
83,doi:10.7910/DVN/2HSIZ1,,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
84,doi:10.7910/DVN/2HTWSU,0.0,2017,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
85,doi:10.7910/DVN/2HXTR8,1.0,2019,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
86,doi:10.7910/DVN/2IO3DL,,2019,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
87,doi:10.7910/DVN/2IT7IF,0.0,2016,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
88,doi:10.7910/DVN/2JCJLX,,2018,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
89,doi:10.7910/DVN/2JDGQT,,2019,samharper,Medicine; Health and Life Sciences;Social Sciences,RESEARCHERS,Sam Harper Dataverse
90,doi:10.7910/DVN/2JT5JK,0.0,2019,perspectives,Social Sciences,JOURNALS,Perspectives on Politics
91,doi:10.7910/DVN/2LY2WB,,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
92,doi:10.7910/DVN/2NDL6R,1.0,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
93,doi:10.7910/DVN/2NJV2P,0.0,2017,ipa,Medicine; Health and Life Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Innovations for Poverty Action Dataverse
94,doi:10.7910/DVN/2PAZJX,1.0,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
95,doi:10.7910/DVN/2PNZNU,,2018,Schoonvelde,Social Sciences,RESEARCHERS,Martijn  Schoonvelde Dataverse
96,doi:10.7910/DVN/2PTJJV,0.0,2019,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
97,doi:10.7910/DVN/2QCPOI,,2018,bpsr,Social Sciences,JOURNALS,Brazilian Political Science Review - Dataverse
98,doi:10.7910/DVN/2RORMS,,2019,EDCC,Agricultural Sciences,JOURNALS,Economic Development and Cultural Change Dataverse
99,doi:10.7910/DVN/2TCFTF,0.0,2017,chanret,Social Sciences,RESEARCHERS,Chris Hanretty Dataverse
100,doi:10.7910/DVN/2V2LGK,0.0,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
101,doi:10.7910/DVN/2VFWT2,1.0,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
102,doi:10.7910/DVN/2XP8YF,,2016,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
103,doi:10.7910/DVN/2XSNPC,1.0,2017,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
104,doi:10.7910/DVN/2YZO3K,0.0,2016,cqs,Social Sciences,UNCATEGORIZED,Carsten Q. Schneider Dataverse
105,doi:10.7910/DVN/37ZBCF,0.0,2018,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
106,doi:10.7910/DVN/38BFML,0.0,2019,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
107,doi:10.7910/DVN/3ADWK8,0.0,2020,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
108,doi:10.7910/DVN/3BSCKY,1.0,2017,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
109,doi:10.7910/DVN/3DPSFR,,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
110,doi:10.7910/DVN/3E7RG4,0.0,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
111,doi:10.7910/DVN/3EONKV,0.0,2018,jop,Other,JOURNALS,The Journal of Politics Dataverse
112,doi:10.7910/DVN/3GBS1I,0.0,2019,gov2001,Social Sciences,UNCATEGORIZED,Gov2001 Dataverse
113,doi:10.7910/DVN/3HDSM8,,2019,researchandpolitics,Social Sciences,JOURNALS,Research & Politics Dataverse
114,doi:10.7910/DVN/3IC00L,0.0,2015,researchandpolitics,Social Sciences,JOURNALS,Research & Politics Dataverse
115,doi:10.7910/DVN/3IHOLN,,2017,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
116,doi:10.7910/DVN/3IWTGB,1.0,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
117,doi:10.7910/DVN/3JA2GK,,2018,jslapin,Social Sciences,RESEARCHERS,Jonathan Slapin Dataverse
118,doi:10.7910/DVN/3KBCJF,,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
119,doi:10.7910/DVN/3KOQWQ,,2018,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
120,doi:10.7910/DVN/3M9OD8,1.0,2015,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
121,doi:10.7910/DVN/3PBN6J,,2018,harvard,Business and Management;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
122,doi:10.7910/DVN/3Q79C3,0.0,2019,NickDietrich,Social Sciences,RESEARCHERS,Nick Dietrich Dataverse
123,doi:10.7910/DVN/3QNR8Q,1.0,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
124,doi:10.7910/DVN/3RA7YG,0.0,2016,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
125,doi:10.7910/DVN/3RF1X0,1.0,2019,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
126,doi:10.7910/DVN/3RNFFH,0.0,2019,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
127,doi:10.7910/DVN/3SLMJY,1.0,2016,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
128,doi:10.7910/DVN/3UXBOJ,0.0,2016,culturalanalytics,Arts and Humanities,JOURNALS,Cultural Analytics Dataverse
129,doi:10.7910/DVN/3WGSR0,,2017,researchandpolitics,Social Sciences,JOURNALS,Research & Politics Dataverse
130,doi:10.7910/DVN/3YCVOF,,2016,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
131,doi:10.7910/DVN/3YK0HL,1.0,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
132,doi:10.7910/DVN/3ZLC8E,,2016,HistPat,Social Sciences,RESEARCH_PROJECTS,HistPat Dataverse
133,doi:10.7910/DVN/434DSB,0.0,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
134,doi:10.7910/DVN/44XF6M,0.0,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
135,doi:10.7910/DVN/45GXK5,0.0,2019,pomeroy,Social Sciences,RESEARCHERS,Caleb Pomeroy Dataverse
136,doi:10.7910/DVN/4BPRUI,0.0,2018,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
137,doi:10.7910/DVN/4C1KJT,1.0,2020,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
138,doi:10.7910/DVN/4EPUIA,0.0,2018,seconlab,Computer and Information Science;Social Sciences,UNCATEGORIZED,TU Security Economics Lab Dataverse
139,doi:10.7910/DVN/4FEJZ3,1.0,2017,brmr,Social Sciences,RESEARCHERS,Bryn Rosenfeld Dataverse
140,doi:10.7910/DVN/4GPTTD,1.0,2019,harvard,Medicine; Health and Life Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
141,doi:10.7910/DVN/4IMZRQ,,2019,harvard,Other,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
142,doi:10.7910/DVN/4IOIWV,1.0,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
143,doi:10.7910/DVN/4JXJWI,1.0,2017,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
144,doi:10.7910/DVN/4K7SQC,0.0,2017,marinagduque,Social Sciences,RESEARCHERS,Marina G. Duque Dataverse
145,doi:10.7910/DVN/4KFU8S,,2019,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
146,doi:10.7910/DVN/4KLEOU,0.0,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
147,doi:10.7910/DVN/4LIO9F,0.0,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
148,doi:10.7910/DVN/4MTMXW,0.0,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
149,doi:10.7910/DVN/4NUU2J,0.0,2020,JAERE,Social Sciences,JOURNALS,Journal of the Association of Environmental and Resource Economists Dataverse
150,doi:10.7910/DVN/4O4R79,0.0,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
151,doi:10.7910/DVN/4QCWML,0.0,2019,researchandpolitics,Social Sciences,JOURNALS,Research & Politics Dataverse
152,doi:10.7910/DVN/4QRUPR,,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
153,doi:10.7910/DVN/4R6NEQ,0.0,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
154,doi:10.7910/DVN/4S2NIW,0.0,2018,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
155,doi:10.7910/DVN/4TEDMI,0.0,2019,stevenmvanhauwaert,Social Sciences,RESEARCHERS,Steven M. Van Hauwaert Dataverse
156,doi:10.7910/DVN/4U6TQA,0.0,2015,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
157,doi:10.7910/DVN/4VAHBW,1.0,2017,zhukov,Social Sciences,RESEARCHERS,Yuri Zhukov Dataverse
158,doi:10.7910/DVN/4W1JHE,1.0,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
159,doi:10.7910/DVN/4WNGEJ,1.0,2018,alexandercoppock,Social Sciences,RESEARCHERS,Alexander Coppock Dataverse
160,doi:10.7910/DVN/4XQUKB,1.0,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
161,doi:10.7910/DVN/4YANG7,,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
162,doi:10.7910/DVN/4YU9LJ,0.0,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
163,doi:10.7910/DVN/52UGJT,1.0,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
164,doi:10.7910/DVN/53KIX8,,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
165,doi:10.7910/DVN/567RS6,0.0,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
166,doi:10.7910/DVN/56EZPS,0.0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
167,doi:10.7910/DVN/56L9JP,0.0,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
168,doi:10.7910/DVN/59F366,1.0,2018,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
169,doi:10.7910/DVN/59NTIL,,2019,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
170,doi:10.7910/DVN/5CYWWF,0.0,2019,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
171,doi:10.7910/DVN/5D4UAY,,2018,crowdfunding,Business and Management;Social Sciences,RESEARCH_GROUP,Crowdfunding and Innovation Dataverse
172,doi:10.7910/DVN/5D6YPB,1.0,2018,harvard,Medicine; Health and Life Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
173,doi:10.7910/DVN/5DLNMA,1.0,2017,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
174,doi:10.7910/DVN/5DPHSO,0.0,2020,dellaposta,Social Sciences,RESEARCHERS,Daniel DellaPosta Dataverse
175,doi:10.7910/DVN/5DX7DP,1.0,2020,IOJ,Social Sciences,JOURNALS,International Organization (IO) Journal Dataverse
176,doi:10.7910/DVN/5DYMJL,,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
177,doi:10.7910/DVN/5HC6SV,1.0,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
178,doi:10.7910/DVN/5J4YZZ,1.0,2020,harvard,Earth and Environmental Sciences;Medicine; Health and Life Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
179,doi:10.7910/DVN/5JDXHS,1.0,2016,economics,Social Sciences,JOURNALS,"Economics: The Open-Access, Open-Assessment E-Journal Dataverse"
180,doi:10.7910/DVN/5JMNRV,0.0,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
181,doi:10.7910/DVN/5KL1NQ,1.0,2019,transmissionlinebiodiversity,Earth and Environmental Sciences,RESEARCH_PROJECTS,Lionel Leston Dataverse
182,doi:10.7910/DVN/5KM8VO,0.0,2018,xps,Social Sciences,JOURNALS,Journal of Experimental Political Science
183,doi:10.7910/DVN/5LYJNZ,,2016,gov2001,Social Sciences,UNCATEGORIZED,Gov2001 Dataverse
184,doi:10.7910/DVN/5MUUMN,,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
185,doi:10.7910/DVN/5MYZKI,0.0,2019,cervas,Social Sciences,RESEARCHERS,Jonathan Cervas Dataverse
186,doi:10.7910/DVN/5NJPTT,0.0,2018,jslapin,Social Sciences,RESEARCHERS,Jonathan Slapin Dataverse
187,doi:10.7910/DVN/5OG9VV,0.0,2019,hkwon,Social Sciences,RESEARCHERS,Hyeok Yong Kwon Dataverse
188,doi:10.7910/DVN/5P03UL,,2019,bpsr,Social Sciences,JOURNALS,Brazilian Political Science Review - Dataverse
189,doi:10.7910/DVN/5QA9YS,0.0,2017,CJFariss,Social Sciences,RESEARCHERS,Christopher J. Fariss Dataverse
190,doi:10.7910/DVN/5SW2HJ,0.0,2019,harvard,Earth and Environmental Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
191,doi:10.7910/DVN/5TWA0G,0.0,2015,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
192,doi:10.7910/DVN/5TZWT2,,2015,researchandpolitics,Social Sciences,JOURNALS,Research & Politics Dataverse
193,doi:10.7910/DVN/5UZF0X,0.0,2018,economics,Social Sciences,JOURNALS,"Economics: The Open-Access, Open-Assessment E-Journal Dataverse"
194,doi:10.7910/DVN/5WOMCQ,0.0,2018,vif-ergm,Social Sciences,RESEARCH_PROJECTS,Multicollinearity in ERGM
195,doi:10.7910/DVN/5YB7KD,1.0,2016,heireport_pm10,Earth and Environmental Sciences;Mathematical Sciences;Medicine; Health and Life Sciences,RESEARCH_PROJECTS,Case Study 1: PM10 Nonattainment Dataverse
196,doi:10.7910/DVN/61DEUA,1.0,2020,phatemi,Medicine; Health and Life Sciences;Social Sciences,RESEARCHERS,Peter Hatemi Dataverse
197,doi:10.7910/DVN/61JJI3,0.0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
198,doi:10.7910/DVN/61JSZQ,0.0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
199,doi:10.7910/DVN/64PBG7,1.0,2019,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
200,doi:10.7910/DVN/6A2J2T,1.0,2018,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
201,doi:10.7910/DVN/6AL5YC,,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
202,doi:10.7910/DVN/6CMBEI,,2016,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
203,doi:10.7910/DVN/6EOZAY,0.0,2019,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
204,doi:10.7910/DVN/6GPLRU,,2017,mbuntaine,Social Sciences,RESEARCHERS,Mark Buntaine Dataverse
205,doi:10.7910/DVN/6HALRE,,2018,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
206,doi:10.7910/DVN/6IOACK,0.0,2018,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
207,doi:10.7910/DVN/6JGSZP,1.0,2019,xps,Social Sciences,JOURNALS,Journal of Experimental Political Science
208,doi:10.7910/DVN/6KEXM7,,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
209,doi:10.7910/DVN/6KPFOK,1.0,2019,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
210,doi:10.7910/DVN/6L6JHG,,2019,Replication_GU_GenderLPGAdoption,Social Sciences,RESEARCH_PROJECTS,"Replication Data for: ""The Gendered Nature of Liquefied Petroleum Gas Stove Adoption and Use in Rural India"""
211,doi:10.7910/DVN/6LTHVZ,0.0,2015,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
212,doi:10.7910/DVN/6M4LFJ,0.0,2016,FPA,Social Sciences,JOURNALS,Foreign Policy Analysis Dataverse
