doi:10.7910/DVN/XFQZI2	Condemnation.R	Error in read.dta13('Condemnation.dta') :   could not find function 'read.dta13'
doi:10.7910/DVN/QKP9EJ	code2.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/QKP9EJ	code3.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/QKP9EJ	code5.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/QKP9EJ	code7.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/QKP9EJ	code8.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/QKP9EJ	fine_grid.R	success
doi:10.7910/DVN/QKP9EJ	summarySE.R	success
doi:10.7910/DVN/15YF0R	BDD_WD2018_replication_SI.R	Error in ggplot(dta.coef, aes(x = names, y = ates, ymin = ylo, ymax = yhi)) :   could not find function 'ggplot'
doi:10.7910/DVN/XRBKEY	josematheus-medeiros-script-tf-ad-ufpe-2018.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/YM7IWP	01_itanes.R	Error in df_parse_sav_file(spec, encoding, user_na) :   Failed to parse /usr/workdir/ITA1996_(itvers2005).sav: The file's timestamp string is invalid.
doi:10.7910/DVN/IJKAUR	water_energy_replication_code.R	Error in loadNamespace(name) : there is no package called ‘pacman’ Calls: :: ... loadNamespace -> withRestarts -> withOneRestart -> doWithOneRestart
doi:10.7910/DVN/A3NO2G	danish.speech.analysis.R	Error in corpus_subset(corpus, country == 'DK') :   could not find function 'corpus_subset'
doi:10.7910/DVN/A3NO2G	dutch.speech.analysis.R	Error in corpus_subset(corpus, country == 'NL') :   could not find function 'corpus_subset'
doi:10.7910/DVN/A3NO2G	produce.sentiment.plots.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/A3NO2G	produce_dataset.R	Error in readtext('Danish Speeches/*.pdf', docvarsfrom = 'filenames',  :   could not find function 'readtext'
doi:10.7910/DVN/XRR0HM	lda_analysis.R	Error in factorial_preprocessing(documents, parallel = TRUE, cores = 20) :   could not find function 'factorial_preprocessing'
doi:10.7910/DVN/XRR0HM	preprocess_data_and_generate_pretext_results.R	Error in factorial_preprocessing(documents) :   could not find function 'factorial_preprocessing'
doi:10.7910/DVN/XRR0HM	wordfish_analysis.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/XRR0HM	wordfish_model_averaging.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/XRR0HM	wordfish_rank_plot_apriori_ordering.R	success
doi:10.7910/DVN/HXNVTQ	usa-decomp-plots.R	Error in read.dta('age-race.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/SNQG8P	naes_ft.r	Error in cem(treatment = 'window14', data = matching.data, drop = c('window10',  :   could not find function 'cem'
doi:10.7910/DVN/FAH6KL	Visconti (2018) - LegislativeRepresentation.R	Error in read.dta('Your/File/Path/Here/ReplicationFiles/dataset.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/WCXK3Z	collect-data.r	Error in install_github('SMAPPNYU/smappR') :   could not find function 'install_github'
doi:10.7910/DVN/VT4KJA	ivsensianalysis.R	Error in read.dta13('MNCs&Corruption.dta') :   could not find function 'read.dta13'
doi:10.7910/DVN/8OKVHY	mdr_politicization_appendix_figures.R	Error in read.dta13('Data/mdr/expertise_paper/SFGSII_mdr_exp_paper_forR.dta',  :   could not find function 'read.dta13'
doi:10.7910/DVN/8OKVHY	mdr_politicization_jop_bootstrap_figures.R	Error in data[data$sample_inv_outside_exp == 1, ] :   incorrect number of dimensions
doi:10.7910/DVN/8OKVHY	mdr_politicization_jop_mission_coding.R	Error in read.xlsx2(file = 'C:/Users/richar33/Dropbox/Papers/expertise/budget_missions/function_subfunction.xlsx',  :   could not find function 'read.xlsx2'
doi:10.7910/DVN/8OKVHY	mdr_politicization_rep_dem_barplots.R	Error in table(x$rep, x$pol_app1) :   all arguments must have the same length
doi:10.7910/DVN/FTYHPJ	PartisanSymMeasures.analysis.R	Error in font_install('fontcm') : could not find function 'font_install'
doi:10.7910/DVN/FTYHPJ	PartisanSymMeasures.functions.R	success
doi:10.7910/DVN/JJJXLV	BasSchub_JCR_Replication.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/GOWG6K	NelsonWitko_JBPA_Replication.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/J9IJGM	study1-analysis.R	Error in apsrtable(all.model.number, all.model.number.weighted, all.model.number.dem,  :   could not find function 'apsrtable'
doi:10.7910/DVN/J9IJGM	study1and2demographics.R	success
doi:10.7910/DVN/J9IJGM	study1and2reweighting.R	Error in read.dta13('anes_timeseries_2016.dta') :   could not find function 'read.dta13'
doi:10.7910/DVN/J9IJGM	study2-analysis.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/N0ZRDZ	FigureA8.R.R	Error in read.dta('replication/temp-R.dta', convert.factors = TRUE) :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/ERMN4H	replication code.R	Error in p_load(haven, rio, srvyr, survey, foreign, MASS, zeligverse,  :   could not find function 'p_load'
doi:10.7910/DVN/8TB7GO	evaluate_bounds.R	Error in eval(ei, envir) :   Missing arguments: Provide DD threshold and path to split 0 and path to split 1
doi:10.7910/DVN/8TB7GO	example_simulations.R	Error in vcovHC(reg, 'HC1') : could not find function 'vcovHC'
doi:10.7910/DVN/8TB7GO	generate_bounds_for_all_datasets.R	Error in eval(ei, envir) :   Missing arguments: Provide split number (0 or 1) and path to root directory
doi:10.7910/DVN/8TB7GO	generate_figures.R	Error in basename(file.path(SAVEDIR, sprintf('fig1_intution.pdf')), height = kFigureWidth,  :   unused arguments (height = kFigureWidth, width = kFigureWidth)
doi:10.7910/DVN/PTPGED	GIGANTEA.R	success
doi:10.7910/DVN/PTPGED	RunGenomeBasedModel.R	Error in GenomeBasedModel(Input, Freevec, Y, Missing, Np, Geno, Methodcode,  :   could not find function 'GenomeBasedModel'
doi:10.7910/DVN/JNFMNQ	JOP_table 3.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/JNFMNQ	JOP_tables 1 and 2.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/9M6EHS	Indicator_Calculation_Mother_Script.R	Error in gsub('.*_', '', project_ID) : object 'project_ID' not found
doi:10.7910/DVN/9M6EHS	Livestock_Product_Calculations.R	Error in is.data.frame(x) : object 'dat_all' not found
doi:10.7910/DVN/9M6EHS	Off_farm_gender.R	Error in eval(ei, envir) : object 'dat_all' not found
doi:10.7910/DVN/9M6EHS	Parcelles_Land_Area.R	Error in is.data.frame(x) : object 'dat_all' not found
doi:10.7910/DVN/9M6EHS	Prices.R	Error in nrow(dat_all) : object 'dat_all' not found
doi:10.7910/DVN/9M6EHS	REVERSE_TRUE_FALSE_SCRIPT.R	success
doi:10.7910/DVN/9M6EHS	Setting_Universal_Units.R	success
doi:10.7910/DVN/9M6EHS	TRUE_FALSE_SCRIPT.R	success
doi:10.7910/DVN/9M6EHS	Total_Incomes.R	Error in data.frame(livestock_income = livestock_income) :   object 'livestock_income' not found
doi:10.7910/DVN/9M6EHS	Value_Calculations.R	Error in nrow(dat_all) : object 'dat_all' not found
doi:10.7910/DVN/9M6EHS	Whole_Livestock_Calculations.R	Error in data.frame(coeff_cattle * as.numeric(dat_all$livestock_heads_cattle),  :   object 'coeff_cattle' not found
doi:10.7910/DVN/CDFEGV	GenMatchCode.R	Error in GenMatch(fit.func = lower.bound, Tr = college, X = Xmat, BalanceMatrix = out,  :   could not find function 'GenMatch'
doi:10.7910/DVN/CDFEGV	funcs.R	success
doi:10.7910/DVN/8W0PXP	mexcrimpro20180216.R	Error in readOGR(dsn = 'shapefiles', layer = 'Mexico_congruence') :   could not find function 'readOGR'
doi:10.7910/DVN/8W0PXP	randomgraphs20180216v3.R	Error in graph.adjacency(w1) : could not find function \graph.adjacency\" Calls: plot"
doi:10.7910/DVN/CL183T	TextMiningScript.R	Error in Corpus(DirSource(cname)) : could not find function 'Corpus'
doi:10.7910/DVN/MTBJ3S	GMC_plots_immigrationfact.R	Error in grid.arrange(threeS, tuxon, remains, westward, ncol = 2, nrow = 2,  :   could not find function 'grid.arrange'
doi:10.7910/DVN/YDCL7Z	cwhr_ii.r	Error in postscript(\e:/tex/a/cwhrf1rn.eps\") :    cannot open file 'e:/tex/a/cwhrf1rn.eps'"
doi:10.7910/DVN/TWHEZ9	Campbell_Detecting_PA_2018_Replication.R	Error in sim_egonets(form = c('edges', 'gwesp(0.8,fixed=TRUE)', 'gwdegree(decay=0.8,fixed=TRUE)'),  :   could not find function 'sim_egonets'
doi:10.7910/DVN/TWHEZ9	Campbell_Detecting_PA_2018_Run.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/LUGBL1	ButlerHomola_Excludability_Analysis.R	Error in stargazer(d, e, f, g, omit.stat = c('f', 'ser', 'adj.rsq'), star.cutoffs = c(0.1,  :   could not find function 'stargazer'
doi:10.7910/DVN/LUGBL1	ButlerHomola_Excludability_Appendix.R	success
doi:10.7910/DVN/FCHU0J	1_lift_data_cleaner.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/FCHU0J	2_demographics_data_cleaner.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/FCHU0J	3_lift_and_demo_merge_data.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/FCHU0J	4_demographics.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/FCHU0J	5_descriptives.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/FCHU0J	6_NHST.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/FCHU0J	fig1.R	Error in grDevices::pdf(file = filename, ..., version = version) :   cannot open file 'figs/Figure1.pdf'
doi:10.7910/DVN/FCHU0J	fig2.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/FCHU0J	figP.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/FCHU0J	figS.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/HWWVAX	unknown	time limit exceeded
doi:10.7910/DVN/GBRVWY	Syntax_Role_of_Governance.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/OJUCRU	WEE_commands_AJPS.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/4U6TQA	Online Appendix.R	Error in read.dta('criteria.dta') : could not find function 'read.dta'
doi:10.7910/DVN/4U6TQA	italycorrection.R	Error in eval(ei, envir) : object 'cses2' not found
doi:10.7910/DVN/4U6TQA	no ties.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/4U6TQA	parliamentary.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/RVV3YW	AMBoot.R	Error in aldmck(aldmckspace, respondent = 1, polarity = 2, missing = c(8,  :   could not find function 'aldmck'
doi:10.7910/DVN/RVV3YW	DontKnowWhatYouGot2014-SingleCore1.R	Error in jags.model(file = 'MLV2.bug', inits = inits, data = forJags,  :   could not find function 'jags.model'
doi:10.7910/DVN/RVV3YW	DontKnowWhatYouGot2014-SingleCore2.R	Error in jags.model(file = 'MLV2.bug', inits = inits, data = forJags,  :   could not find function 'jags.model'
doi:10.7910/DVN/RVV3YW	DontKnowWhatYouGot2014-SingleCore3.R	Error in jags.model(file = 'MLV2.bug', inits = inits, data = forJags,  :   could not find function 'jags.model'
doi:10.7910/DVN/RVV3YW	DontKnowWhatYouGot2014-SingleCore4.R	Error in jags.model(file = 'MLV2.bug', inits = inits, data = forJags,  :   could not find function 'jags.model'
doi:10.7910/DVN/RVV3YW	DontKnowWhatYouGot2014-SingleCore5.R	Error in jags.model(file = 'MLV2.bug', inits = inits, data = forJags,  :   could not find function 'jags.model'
doi:10.7910/DVN/RVV3YW	DontKnowWhatYouGot2014-SingleCore6.R	Error in jags.model(file = 'MLV2.bug', inits = inits, data = forJags,  :   could not find function 'jags.model'
doi:10.7910/DVN/RVV3YW	DontKnowWhatYouGot2014-SingleCore7.R	Error in jags.model(file = 'MLV2.bug', inits = inits, data = forJags,  :   could not find function 'jags.model'
doi:10.7910/DVN/RVV3YW	DontKnowWhatYouGot2014-SingleCore8.R	Error in jags.model(file = 'MLV2.bug', inits = inits, data = forJags,  :   could not find function 'jags.model'
doi:10.7910/DVN/RVV3YW	PPC.R	Error in loadNamespace(name) : there is no package called 'runjags'
doi:10.7910/DVN/RVV3YW	PSRM_Main_Code.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/RVV3YW	Preprocessing_and_Summary.R	success
doi:10.7910/DVN/RVV3YW	neuro-formal-plot.R	success
doi:10.7910/DVN/IVPBRF	civil_peace_data_and_pca.r	Error in countrycode(ed.new$country, 'country.name', 'cown') :   could not find function 'countrycode'
doi:10.7910/DVN/IVPBRF	sppo_substantive_replication.r	Error in read.dta('cw_replication_data.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/EHWM14	MunicipalAnalysis.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/EHWM14	RegionalAnalysis.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/EHWM14	SurveyAnalysis.R	Error in read.dta('YOUR PATH TO 'LiTS III.dta'', convert.factors = FALSE) :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/RXYHGK	Demo_Desenveco.R	Error : `path` does not exist: 'Demo_Desenveco.xlsx'
doi:10.7910/DVN/GXX1TS	adj.R	Error in read.dta13('../ab_04-14.dta') :   could not find function 'read.dta13'
doi:10.7910/DVN/GXX1TS	analysis.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/DAC9NX	ei_cr_isq.R	Error in ei(formula = formula, total = 'electores', data = ei2) :   could not find function 'ei'
doi:10.7910/DVN/7ZZKC7	METEC_comparator.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/7ZZKC7	METEC_equipment_groups.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/7ZZKC7	METEC_plotter.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/7ZZKC7	METEC_replication_repairs.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/7ZZKC7	METEC_results_post.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/7ZZKC7	sd_quadrature.R	success
doi:10.7910/DVN/7ZZKC7	unit_conversions.R	success
doi:10.7910/DVN/DCYDHS	spatial_lag_replication.R	Error in readOGR(dsn = '.', layer = 'DZA_adm1') :   could not find function 'readOGR'
doi:10.7910/DVN/2RORMS	explore_spillovers_public.R	Error in makeCluster(4) : could not find function \makeCluster\""
doi:10.7910/DVN/RTB1IG	BoomRCode.R	Error in read.dta(\dyad_analysis_20100309_Revised.dta\"
doi:10.7910/DVN/FSNEZY	smith-2019-boot-ames.R	Error : 'data/smith_2019_secret_but_constrained_dta.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/FSNEZY	smith-2019-covert-final-appendix-a.R	Error : 'data/smith_2019_secret_but_constrained_dta.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/FSNEZY	smith-2019-covert-final-appendix-b.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/FSNEZY	smith-2019-covert-final-script.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/FSNEZY	smith-2019-covert-final-tidy-output-functions.R	success
doi:10.7910/DVN/FSNEZY	smith-2019-final-texreg-tables.R	Error in nested_df$tidy_models[[index_id]] : subscript out of bounds
doi:10.7910/DVN/FSNEZY	smith-2019-final-visualizations.R	Error : 'data/smith_2019_secret_but_constrained_dta.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/IKDTPZ	gnt_analysis.R	Error in stargazer(model.cp1a, model.cp1, model.cp2a, model.cp2, style = 'apsr',  :   could not find function 'stargazer'
doi:10.7910/DVN/X1TGCJ	Hartman&Morse2017.r	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/LBRAFG	Replication_Analysis_I.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/LBRAFG	unknown	time limit exceeded
doi:10.7910/DVN/CECD9V	figure1.R	Error : '../data/data_final.dta' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/CECD9V	figure2.R	Error : '../data/data_final.dta' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/CECD9V	figure4.R	Error : '../data/data_final.dta' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/EPBPMJ	unknown	time limit exceeded
doi:10.7910/DVN/IJ2OQJ	create_figure_1.R	Error in attach.all(roll.call.merged) :   could not find function 'attach.all'
doi:10.7910/DVN/3Q79C3	dietrichcrabtree.R	Error in loadNamespace(name) : there is no package called 'rio'
doi:10.7910/DVN/QE27H9	replication_script.R	Error in createMatrix(cposneg + 2) :   could not find function 'createMatrix'
doi:10.7910/DVN/3DPSFR	anes-analysis.R	Error in attend_rally + talk_to_others :   non-numeric argument to binary operator
doi:10.7910/DVN/3DPSFR	experiment-analysis.R	Error in vote2016 + display_sign16 + persuade_vote_choice + donate_money +  :   non-numeric argument to binary operator
doi:10.7910/DVN/3DPSFR	sentiment-analysis.R	Error in if (.get.file.extension(out[i]) == 'tex') { :   argument is of length zero
doi:10.7910/DVN/HCJ6OM	unknown	time limit exceeded
doi:10.7910/DVN/ONSPYO	avgPredProbs.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/ONSPYO	figureSI-1.R	Error in win.metafile('responseCurves.emf', width = 8, height = 6) :   could not find function 'win.metafile'
doi:10.7910/DVN/BM8N4C	AMIP_East-T_SST.R	Error in open.ncdf(name) : could not find function 'open.ncdf'
doi:10.7910/DVN/BM8N4C	Figure 1.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/BM8N4C	Figure 2.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/BM8N4C	Figure 3.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/BM8N4C	Figure 4.R	Error in nc_open(paste(datadir, name, sep = '')) :   could not find function 'nc_open'
doi:10.7910/DVN/BM8N4C	Figure 5.R	Error in nc_open(name) : could not find function 'nc_open'
doi:10.7910/DVN/BM8N4C	Henderson.R	success
doi:10.7910/DVN/BM8N4C	Henderson_predict_O3.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/BM8N4C	cov4gappy.R	success
doi:10.7910/DVN/BM8N4C	eof.mca.R	success
doi:10.7910/DVN/BM8N4C	filled.contour3.R	success
doi:10.7910/DVN/BM8N4C	get_geo.R	success
doi:10.7910/DVN/BM8N4C	get_met.R	success
doi:10.7910/DVN/BM8N4C	mov_detrend_predict_o3.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/BM8N4C	read_detrend.R	success
doi:10.7910/DVN/NN9KZT	conjoint.R	Error in amce(cj_response ~ Reciprocity + Country + Owner + Natsec + Firmsize +  :   could not find function 'amce'
doi:10.7910/DVN/1SBYFJ	PSRM_Replication_Figures.R	Error in xy.coords(x, y, xlabel, ylabel, log) :   'x' is a list, but does not have components 'x' and 'y'
