,doi,publicationDate,publisher,subject,type,name
15,doi:10.7910/DVN/KHBJVZ,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
16,doi:10.7910/DVN/YTWNA2,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
17,doi:10.7910/DVN/A3ROXD,2017,harvard,Agricultural Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
18,doi:10.7910/DVN/0PTKDP,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
19,doi:10.7910/DVN/MHN3NY,2017,harvard,Earth and Environmental Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
20,doi:10.7910/DVN/KYVPKZ,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
21,doi:10.7910/DVN/DOP4UB,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
22,doi:10.7910/DVN/KIVXRA,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
23,doi:10.7910/DVN/VGNMQP,2019,harvard,Earth and Environmental Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
24,doi:10.7910/DVN/53KIX8,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
25,doi:10.7910/DVN/TT17NY,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
26,doi:10.7910/DVN/QPVRNG,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
27,doi:10.7910/DVN/Q2Z5NV,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
28,doi:10.7910/DVN/PJOMF1,2019,harvard,Arts and Humanities;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
29,doi:10.7910/DVN/5SW2HJ,2019,harvard,Earth and Environmental Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
30,doi:10.7910/DVN/GS3IKP,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
31,doi:10.7910/DVN/V9LWUQ,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
32,doi:10.7910/DVN/KRE6KH,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
33,doi:10.7910/DVN/C3RRZD,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
34,doi:10.7910/DVN/AIPWNU,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
35,doi:10.7910/DVN/XHCWHE,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
36,doi:10.7910/DVN/GVEKYP,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
37,doi:10.7910/DVN/YFLR9W,2019,harvard,Law;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
38,doi:10.7910/DVN/LQ8B4W,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
39,doi:10.7910/DVN/FYJ6YT,2017,harvard,Arts and Humanities;Medicine; Health and Life Sciences;Other,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
40,doi:10.7910/DVN/AEOMG5,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
41,doi:10.7910/DVN/HKDFTY,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
42,doi:10.7910/DVN/OMUPIZ,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
43,doi:10.7910/DVN/V3LLLE,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
44,doi:10.7910/DVN/RJW5VN,2018,harvard,Other,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
45,doi:10.7910/DVN/YVCPDT,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
46,doi:10.7910/DVN/RG3OYS,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
47,doi:10.7910/DVN/AB5XYQ,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
48,doi:10.7910/DVN/DL4JY8,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
49,doi:10.7910/DVN/BSUNGB,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
50,doi:10.7910/DVN/BFE6IU,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
51,doi:10.7910/DVN/2HRRC7,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
52,doi:10.7910/DVN/ZPDOYT,2019,harvard,Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
53,doi:10.7910/DVN/ZAYTWC,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
54,doi:10.7910/DVN/VGWY3L,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
55,doi:10.7910/DVN/8XSAZD,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
56,doi:10.7910/DVN/SS4LNN,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
57,doi:10.7910/DVN/GTFAQW,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
58,doi:10.7910/DVN/4R6NEQ,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
59,doi:10.7910/DVN/NWHYIQ,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
60,doi:10.7910/DVN/UHYIUW,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
61,doi:10.7910/DVN/UZSQTV,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
62,doi:10.7910/DVN/9P0GXR,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
63,doi:10.7910/DVN/96AJMC,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
64,doi:10.7910/DVN/ZPC0D3,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
65,doi:10.7910/DVN/DZ6XJH,2019,harvard,Arts and Humanities,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
66,doi:10.7910/DVN/L8N4TR,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
67,doi:10.7910/DVN/D8S4UY,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
68,doi:10.7910/DVN/JHOK6X,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
69,doi:10.7910/DVN/CLIGCI,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
70,doi:10.7910/DVN/SI5KBL,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
71,doi:10.7910/DVN/2PAZJX,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
72,doi:10.7910/DVN/AIF4PI,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
73,doi:10.7910/DVN/UHIFDK,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
74,doi:10.7910/DVN/JTAXAD,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
75,doi:10.7910/DVN/ZRMLCR,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
76,doi:10.7910/DVN/HZNJRU,2019,harvard,Arts and Humanities;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
77,doi:10.7910/DVN/TTCTIY,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
78,doi:10.7910/DVN/IK9MQE,2019,harvard,Medicine; Health and Life Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
79,doi:10.7910/DVN/VLOHVI,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
80,doi:10.7910/DVN/YDJZC0,2019,harvard,Arts and Humanities;Business and Management;Computer and Information Science;Law;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
81,doi:10.7910/DVN/L2IOZO,2017,harvard,Business and Management;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
82,doi:10.7910/DVN/EUQMPP,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
83,doi:10.7910/DVN/PE8TWP,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
84,doi:10.7910/DVN/PCRG1D,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
85,doi:10.7910/DVN/FP8THH,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
86,doi:10.7910/DVN/FFGFEG,2018,harvard,Computer and Information Science;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
87,doi:10.7910/DVN/PVNEPJ,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
88,doi:10.7910/DVN/COXYJQ,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
89,doi:10.7910/DVN/AYXQIJ,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
90,doi:10.7910/DVN/UFL6MI,2020,harvard,Computer and Information Science;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
91,doi:10.7910/DVN/BMKKTY,2017,harvard,Arts and Humanities,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
92,doi:10.7910/DVN/KPDD0E,2020,harvard,Business and Management;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
93,doi:10.7910/DVN/99OJBV,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
94,doi:10.7910/DVN/KBMBJP,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
95,doi:10.7910/DVN/MR7YZK,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
96,doi:10.7910/DVN/JP2JHH,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
97,doi:10.7910/DVN/NZIVED,2018,harvard,Medicine; Health and Life Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
98,doi:10.7910/DVN/VOW9OB,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
99,doi:10.7910/DVN/ZMYDWN,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
100,doi:10.7910/DVN/JZZIYU,2016,harvard,Arts and Humanities;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
101,doi:10.7910/DVN/UHKDG4,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
102,doi:10.7910/DVN/GFGWDO,2020,harvard,Agricultural Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
103,doi:10.7910/DVN/5HC6SV,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
104,doi:10.7910/DVN/ORH029,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
105,doi:10.7910/DVN/MKAI7J,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
106,doi:10.7910/DVN/O11QZU,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
107,doi:10.7910/DVN/SYOKZW,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
108,doi:10.7910/DVN/VSS3KO,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
109,doi:10.7910/DVN/FXVVDQ,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
110,doi:10.7910/DVN/GSBOEU,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
111,doi:10.7910/DVN/6UNLQM,2017,harvard,Medicine; Health and Life Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
112,doi:10.7910/DVN/CMK05F,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
113,doi:10.7910/DVN/JPU0BX,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
114,doi:10.7910/DVN/26VAXI,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
115,doi:10.7910/DVN/FR73RE,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
116,doi:10.7910/DVN/RT8CHM,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
117,doi:10.7910/DVN/L0SO7L,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
118,doi:10.7910/DVN/RSI8NR,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
119,doi:10.7910/DVN/CXSECU,2020,harvard,Computer and Information Science;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
120,doi:10.7910/DVN/5J4YZZ,2020,harvard,Earth and Environmental Sciences;Medicine; Health and Life Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
121,doi:10.7910/DVN/OWUY5F,2016,harvard,Other,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
122,doi:10.7910/DVN/TYSETW,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
123,doi:10.7910/DVN/QWEK63,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
124,doi:10.7910/DVN/ZRMAKU,2017,harvard,Computer and Information Science,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
125,doi:10.7910/DVN/QXDOPZ,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
126,doi:10.7910/DVN/VZAKYC,2017,harvard,Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
127,doi:10.7910/DVN/LIVJLZ,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
128,doi:10.7910/DVN/MTHVD4,2015,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
129,doi:10.7910/DVN/FN7XIV,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
130,doi:10.7910/DVN/DMMQ4L,2015,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
131,doi:10.7910/DVN/Z5RBBT,2019,harvard,Medicine; Health and Life Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
132,doi:10.7910/DVN/LPF2BK,2017,harvard,Computer and Information Science,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
133,doi:10.7910/DVN/1ELYGA,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
134,doi:10.7910/DVN/YRAJHO,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
135,doi:10.7910/DVN/WYCMVV,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
136,doi:10.7910/DVN/PMPSWJ,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
137,doi:10.7910/DVN/UN9JWF,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
138,doi:10.7910/DVN/CCUHUY,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
139,doi:10.7910/DVN/XUVHCH,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
140,doi:10.7910/DVN/MTELU8,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
141,doi:10.7910/DVN/O7HHKB,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
142,doi:10.7910/DVN/AESELE,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
143,doi:10.7910/DVN/MFSZJH,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
144,doi:10.7910/DVN/9IYGIX,2015,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
145,doi:10.7910/DVN/ERX5D1,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
146,doi:10.7910/DVN/PTPGED,2018,harvard,Computer and Information Science,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
147,doi:10.7910/DVN/Z4S2E8,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
148,doi:10.7910/DVN/HDREIJ,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
149,doi:10.7910/DVN/RHFPVV,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
150,doi:10.7910/DVN/3KBCJF,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
151,doi:10.7910/DVN/R4LJIT,2020,harvard,Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
152,doi:10.7910/DVN/AIP0V8,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
153,doi:10.7910/DVN/LEFLDF,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
154,doi:10.7910/DVN/XAUYEM,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
155,doi:10.7910/DVN/MIB7AG,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
156,doi:10.7910/DVN/74N5YH,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
157,doi:10.7910/DVN/0EVV7C,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
158,doi:10.7910/DVN/VA3N1L,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
159,doi:10.7910/DVN/P4VOCQ,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
160,doi:10.7910/DVN/HGIHGC,2020,harvard,Business and Management;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
161,doi:10.7910/DVN/HCJ6OM,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
162,doi:10.7910/DVN/EX7LIV,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
163,doi:10.7910/DVN/ZLGGEG,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
164,doi:10.7910/DVN/FZCXVN,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
165,doi:10.7910/DVN/F0NDJP,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
166,doi:10.7910/DVN/NLMJIP,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
167,doi:10.7910/DVN/QN94IG,2019,harvard,Medicine; Health and Life Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
168,doi:10.7910/DVN/JQHLAT,2020,harvard,Medicine; Health and Life Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
169,doi:10.7910/DVN/OU5RKQ,2016,harvard,Earth and Environmental Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
170,doi:10.7910/DVN/PTGUWE,2019,harvard,Medicine; Health and Life Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
171,doi:10.7910/DVN/OIBDLC,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
172,doi:10.7910/DVN/MHWTTS,2020,harvard,Earth and Environmental Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
173,doi:10.7910/DVN/V1SVZ4,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
174,doi:10.7910/DVN/MF2Q7U,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
175,doi:10.7910/DVN/OY86T9,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
176,doi:10.7910/DVN/NL5BBJ,2015,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
177,doi:10.7910/DVN/YYZCA0,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
178,doi:10.7910/DVN/ZAYG8D,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
179,doi:10.7910/DVN/4W1JHE,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
180,doi:10.7910/DVN/NW8RCM,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
181,doi:10.7910/DVN/ZPMPE9,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
182,doi:10.7910/DVN/NSVSBY,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
183,doi:10.7910/DVN/LF9H7Q,2020,harvard,Business and Management;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
184,doi:10.7910/DVN/TALNRF,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
185,doi:10.7910/DVN/OI4U3L,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
186,doi:10.7910/DVN/H11ITR,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
187,doi:10.7910/DVN/MS8XES,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
188,doi:10.7910/DVN/BIJWCU,2017,harvard,Mathematical Sciences;Medicine; Health and Life Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
189,doi:10.7910/DVN/LI9CAY,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
190,doi:10.7910/DVN/IJ2OQJ,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
191,doi:10.7910/DVN/KNKRNP,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
192,doi:10.7910/DVN/QSICEX,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
193,doi:10.7910/DVN/LA4QBU,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
194,doi:10.7910/DVN/9ZPFF9,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
195,doi:10.7910/DVN/JN22VJ,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
196,doi:10.7910/DVN/USFTTP,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
197,doi:10.7910/DVN/KXXA5C,2019,harvard,Law,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
198,doi:10.7910/DVN/GSDZNV,2020,harvard,Computer and Information Science;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
199,doi:10.7910/DVN/GCOLDC,2020,harvard,Other;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
200,doi:10.7910/DVN/2V2LGK,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
201,doi:10.7910/DVN/SK7JVV,2015,harvard,Agricultural Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
202,doi:10.7910/DVN/PRIRVH,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
203,doi:10.7910/DVN/UQZUPO,2018,harvard,Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
204,doi:10.7910/DVN/EUIGEO,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
